stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,69,0,0,0,0,0,0,3,0,4,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,2.46,220.81,0.82,0,0,0,0,0.82,0,0,20.52,0,0,0,0,0
 36-46,0,0,0,0.81,0,7.25,0,0,5.64,0,0,0.81,0,0,0.81,0,0,1.61,0,0,532.55,0,0,0,0,0,0,0,0.81,26.59,0,0,0,0,0
 48-58,0,0,0.57,2.3,0,30.99,0,0,8.61,0,0,1.15,0.57,0,3.44,0.57,0,5.16,0.57,0.57,768.9,0,2.87,0,0,0,1.15,0,0,14.92,0,0,0.57,0,1.15
 60-70,0,0,0,0,0,75.58,0,0.98,9.82,0,0,0,0,0,0.98,0,0,9.82,0,0,1433.02,0,0,0,0,0,0.98,0,0.98,36.32,0,0,0,0,0.98
 72-82,0,0,1.96,6.87,3.93,143.32,0,0.98,26.5,0,0,0.98,1.96,0.98,2.94,0,0.98,16.69,0,1.96,1658.03,0,1.96,0,0,0,0.98,0,0,20.61,0,0.98,0,0,0.98
 84-94,0,0,0,5.31,1.06,104.08,0,1.06,13.81,0,0,0,0,1.06,1.06,0,0,6.37,1.06,1.06,794.4,0,2.12,2.12,0,0,0,0,0,12.74,0,0,1.06,1.06,0
 96-106,0,0,0,5.46,1.09,73.22,0,0,32.79,0,0,0,1.09,0,3.28,1.09,0,6.56,0,0,662.27,0,2.19,2.19,0,0,1.09,0,0,8.74,0,0,1.09,0,2.19
108-118,0,0,0,10.72,1.53,45.19,0.77,0.77,13.02,0.77,0,0,0,0,4.6,1.53,0,8.43,0.77,0,754.47,0.77,0.77,2.3,0,0.77,0.77,0,0,2.3,0.77,0,0,0,0
120,0,0,0,19.6,0,52.91,0,1.96,7.84,0,0,0,1.96,0,3.92,1.96,0,5.88,0,0,856.43,0,0,1.96,0,0,0,0,0,13.72,1.96,0,3.92,0,0
