stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,79.07,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0
  5-6,12.26,337.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,318.74,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,13.14,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,76.23,0,0,0,39.43,21.03,2.63,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,6.29,0,0,0,0,144.76,0,0,0,0,0,0,0,0,0,254.9,0,0,0,44.06,0,3.15,0,0,0,0
 14-21,0,0,0,4,29,3,0,9,1,0,1,2,99,0,26,0,0,0,2,0,0,0,67,1,4,2,2,17,0,3,2,9,0
 24-34,0,0,0,0.82,4.93,0,0,5.75,0.82,0,0.82,1.64,12.31,0,24.63,0,0,0,0.82,6.57,0,0,27.91,0,8.21,0,0,0.82,0,0,0,2.46,0
 36-46,0,0,0,0,4.03,0,0,5.64,0,0,0,1.61,0.81,0,4.03,0,0,0.81,2.42,1.61,0,1.61,20.14,0,6.45,0.81,0,4.03,0,0,0,0.81,0
 48-58,0,0,0,0,6.31,0,0,5.16,0,0,1.72,2.87,4.02,0.57,5.74,0,1.15,0,0,1.72,0,0,10.9,0,4.02,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,17.67,0,0,4.91,0,0,0.98,4.91,0,0,3.93,0,0,0.98,0,0,0,0,15.7,0,2.94,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0.98,0,17.67,0,0,3.93,0,0,1.96,9.82,2.94,0,10.8,0.98,0,0,3.93,3.93,0.98,0,12.76,0,6.87,0,0,0,0,0,0,0,5.89
 84-94,0,0,2.12,0,25.49,0,0,4.25,0,2.12,1.06,15.93,1.06,1.06,22.3,0,0,0,2.12,4.25,0,0,5.31,0,7.43,0,0,1.06,0,0,0,0,10.62
 96-106,0,0,0,0,26.23,1.09,0,3.28,0,0,1.09,25.14,0,2.19,20.76,0,0,1.09,3.28,6.56,0,0,7.65,0,2.19,0,0,0,0,0,0,0,15.3
108-118,0,0,0,0,24.51,0.77,0.77,2.3,0,0,0.77,24.51,0,0.77,16.85,0,0,0.77,4.6,3.83,0,0,6.13,0,3.06,0,0,1.53,0,0,0,0,22.98
120,0,0,0,0,23.52,0,0,5.88,0,0,0,33.32,0,3.92,17.64,1.96,0,0,0,0,0,0,7.84,0,7.84,0,0,0,0,0,0,0,15.68
