stage,epidermis,eye,glial,liver,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord,taste
 10-12,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,1,1,0,0,3,0
 24-34,0,0.82,0,0,0.82,9.03,3.28,0,0,4.93,0
 36-46,0,0,0,0,0,7.25,1.61,0,0,2.42,0
 48-58,0,0,0,0,0,4.02,0,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,4.91,0.98,0,0,0.98,0
 72-82,0,0.98,0,0,1.96,6.87,1.96,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,0,3.19,1.06,0,0,1.06,1.06
 96-106,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0.77,0.77,0,3.06,0,0.77,0,0,0.77
120,0,0,0,0,0,3.92,0,3.92,0,0,0
