stage,blastomeres,epidermis,eye,fin.epithelia,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0.82,0.82,0,0,0,0,2.46,0.82
 36-46,0,0,0.81,0,0,0.81,0,4.03,0,0,7.25,0.81,0,0,0,1.61,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,1.15,0,0,0.57,0,0.57,0.57
 60-70,0,0,1.96,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0.98,2.94
 72-82,0,0,0.98,0,0,0,0,2.94,0.98,0,4.91,0,0,0.98,0,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,2.12,0,1.06,2.12,0,0,2.12,1.06,0,2.12
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,1.09
108-118,0,1.53,0,0,0,2.3,0,1.53,0,0.77,2.3,0,0,2.3,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
