stage,exocrine_pancreas,eye,fast_muscle,glial,liver,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord
 14-21,0,0,0,0,0,0,0,0,3,0,0,1,1,0
 24-34,0,2.46,0,0.82,0.82,0,0,0,4.93,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,4.03,0.81,0.81,0,0,0
 48-58,0,0.57,0.57,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0.98,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,1.96,0,0.98,0,0,0,0,2.94,0.98,0,0,0,0
 84-94,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0.77,0.77,0,0.77,0,0,0,0,1.53,0,0,0,0,0
120,0,5.88,0,0,0,0,0,1.96,1.96,0,0,0,0,0
