stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,0,0,13.14,0,0,2.63,0,0,5.26,0,0,0,0,0,31.54,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0.82,4.1,0.82,0,7.39,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0,8.06,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,9.82,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0,2.94,1.96,0,10.8,0,0,1.96
 84-94,0,0,0,3.19,0,0,0,4.25,0,0,0,0,2.12,0,0,1.06,0,20.18,0,0,0
 96-106,0,0,0,3.28,1.09,0,0,0,0,1.09,2.19,0,0,0,1.09,0,0,18.58,0,0,1.09
108-118,0,0,0,3.83,0,0,0.77,0.77,0,1.53,0.77,0.77,0.77,0,0.77,0,0,5.36,0,0,0.77
120,0,0,0,3.92,0,0,0,7.84,0,0,0,0,0,0,1.96,0,0,21.56,0,0,0
