stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,iridophores,mesenchyme,neural,otic,periderm,spinal_cord,visceral_smooth_muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,2,0,0,1,0
 24-34,0,0,0,0,1.64,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,0,11.28,0.81,0,0,0,7.25,0,0,0,0
 48-58,0,0,0,0,24.67,0.57,0,0,0.57,5.74,0,1.15,0.57,0
 60-70,0,0,0,0,39.26,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,43.19,0,0,0.98,1.96,7.85,0,0,0,0
 84-94,0,1.06,1.06,0,29.74,1.06,0,0,0,5.31,0,0,0,1.06
 96-106,0,0,0,0,25.14,0,1.09,0,0,5.46,0,1.09,0,0
108-118,0,0.77,0,0,32.94,4.6,0,0,3.06,9.96,0.77,0,0,0.77
120,0,0,0,1.96,23.52,0,1.96,0,0,3.92,0,0,0,0
