stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,30,1,0,0,0,0,0,1,0,0,2,11,0,0,1,0,0
 24-34,0,0,0,0.82,0,5.75,0,0.82,0,1.64,0,0,0,0.82,0,0,0.82,0,0.82,0,0,2.46,145.29,1.64,0,0.82,0,0,0,0,2.46,0,0,32.83,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,4.03,0,0,0.81,2.42,0,0,0,0,0,0,0,0.81,4.83,0,0,0,338.38,0.81,0.81,0,0,0.81,0,0,2.42,0,0.81,80.57,0,0,2.42,0,0.81
 48-58,0,0,0,1.15,0.57,19.51,0,0,0,8.61,0,0,0.57,0,0.57,0,0,2.3,12.62,0.57,0,1.15,433.22,0,0.57,0,0,1.15,0,0,1.72,0,0,98.69,0,0.57,0,0,0
 60-70,0,0,0,3.93,0,43.19,0.98,0,0,28.46,0,0,0,0,0,0,0,3.93,7.85,0.98,0,0,643.88,0,0,0.98,0,0.98,0,0,0,0,0,125.63,0,0,0,0,0
 72-82,0,0.98,0,1.96,0.98,72.64,0,0,0,35.34,0,0,0,0,0,0.98,0,0.98,18.65,0,0.98,0.98,621.39,0,0.98,1.96,0,0.98,0,0,3.93,0,0,85.4,0,0.98,0,0.98,0
 84-94,0,0,0,5.31,2.12,59.47,0,2.12,0,22.3,0,0,0,0,0,1.06,1.06,6.37,10.62,1.06,0,2.12,345.16,1.06,0,2.12,0,1.06,0,0,10.62,0,0,35.05,0,1.06,0,0,0
 96-106,0,0,0,5.46,1.09,60.11,0,0,2.19,21.86,0,0,0,1.09,1.09,0,2.19,1.09,8.74,0,0,0,255.73,0,2.19,1.09,0,3.28,0,0,13.11,0,0,16.39,1.09,0,1.09,0,0
108-118,0,0,0,0.77,0.77,39.06,0,1.53,0.77,28.34,0,0,0,0,0,2.3,0,0.77,5.36,0,0,1.53,322.47,0,0,3.83,0,1.53,0,0,8.43,0.77,0,9.96,0,0.77,0.77,0,0.77
120,0,0,0,13.72,1.96,45.08,0,0,0,13.72,0,0,0,1.96,0,0,1.96,0,7.84,1.96,0,0,429.19,0,0,3.92,0,1.96,0,0,9.8,0,0,27.44,0,0,0,0,0
