stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,6.29,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,20.52,0,1.64,0.82,0,1.64,0,0,0,2.46,0,0,5.75,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,4.03,0,0,0,52.37,0,0.81,0,0,1.61,0,0,0,5.64,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,9.75,1.15,1.15,0,0,0.57,0.57,0,0,0,2.3,0,0,0.57,49.35,0,0,0,0,2.3,0,0,0,9.18,0,0,2.3,0,0.57
 60-70,0,0,1.96,0,0.98,0,13.74,0,0.98,0,0,0,1.96,0,0,0.98,2.94,0,0.98,0,51.04,0,0,0,0,2.94,0,0,0,3.93,0,0,2.94,0,0
 72-82,0,0,0.98,0,1.96,0,20.61,0,0,0,0,0,0.98,0.98,0,0.98,7.85,0.98,0.98,1.96,47.12,0,0.98,0,0,2.94,0,0,0,6.87,0,0,6.87,0,0
 84-94,0,0,0,0,5.31,0,8.5,0,2.12,3.19,0,0,3.19,0,1.06,1.06,8.5,1.06,0,0,13.81,0,1.06,0,0,8.5,0,0,0,3.19,1.06,1.06,5.31,0,0
 96-106,0,0,0,0,8.74,1.09,6.56,0,1.09,0,0,1.09,13.11,3.28,0,0,6.56,1.09,0,0,20.76,0,1.09,0,0,16.39,0,0,0,1.09,1.09,0,4.37,2.19,0
108-118,0,0,0,0,4.6,0,6.13,0,2.3,2.3,0,0,3.83,0.77,0,1.53,6.89,0.77,0,0,14.55,0,0,0,0,14.55,0,0,0,0,0,0,3.83,0,0
120,0,0,0,0,3.92,0,5.88,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0,13.72,0,0,0,0,7.84,0,0,0,1.96,1.96,0,5.88,0,0
