stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,24,1,0,2,1,0,0,3,3,5,13,0,0,0,0
 24-34,0,0,3.28,0,2.46,0,0,0,0.82,0,0,0.82,0,0,0,5.75,0,0,0.82,1.64,1.64,0,0,0,0,1.64,0,0,0,7.39,0,0,0,0
 36-46,0,0,1.61,0,0.81,1.61,1.61,0,2.42,0,0,0.81,0,0,0.81,10.47,0,0,1.61,6.45,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,1.72,1.15,0,0.57,0.57,0,0,0,4.02,0,0,0.57,2.3,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,7.85,0,0,0.98,0,0,0,17.67,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,3.93,0,0,0,9.82,0,0,0.98,0,0.98,0,31.41,0,0.98,2.94,6.87,0.98,0,0,0,0.98,0.98,0,0,0,1.96,0.98,0,0.98,2.94
 84-94,0,0,2.12,0,0,1.06,0,1.06,1.06,1.06,0,1.06,1.06,0,0,18.05,0,1.06,1.06,3.19,0,0,0,0,0,1.06,0,0,0,0,1.06,1.06,3.19,0
 96-106,0,0,1.09,0,5.46,0,1.09,0,8.74,1.09,0,1.09,0,0,0,31.69,0,0,1.09,2.19,1.09,0,0,0,0,1.09,0,1.09,0,0,4.37,2.19,2.19,1.09
108-118,0,0,6.13,0,1.53,1.53,3.83,0.77,7.66,1.53,0,0,1.53,0.77,0,22.21,0.77,1.53,0.77,1.53,3.83,0,1.53,0,0.77,0,0,1.53,0,0.77,2.3,1.53,0.77,0.77
120,0,0,5.88,0,3.92,0,0,0,1.96,0,0,3.92,1.96,0,0,9.8,0,0,1.96,7.84,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96
