stage,axial,blastomeres,endoderm,epidermis,erythrocytes,fast.muscle,glial,gut,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,39.43,0,10.51,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,22.03,3.15,9.44,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0.98,0.98
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0
