stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,34.17,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,14,5,0,0,0,0,1,2,1,1,1,5,0,0,0
 24-34,0,0,0,0,1.64,0,1.64,0,0,0,1.64,0,0,0,0.82,1.64,0,0,1.64,36.94,0,3.28,0,0,0,0,0,0,0,0,3.28,0,0,1.64
 36-46,0,0,0,0,0,0,5.64,0,0,0,0.81,0,0,0,0,3.22,0,0,3.22,30.62,0.81,0.81,0,0,0,0.81,0,0.81,0.81,0,5.64,0,0,1.61
 48-58,0,0,0,0,0.57,0,5.74,0,0,0.57,2.3,0,0,0,0.57,5.74,0,0,0.57,47.63,0,1.72,0,0,0.57,0,0,0,0,0,7.46,0,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,0.98,0,0.98,0,0,0,0,1.96,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,1.96,0,14.72,0,0,1.96,3.93,0,0,0.98,0,11.78,0,0.98,0,51.05,0,2.94,0,0,0,0,0,0,0,0,1.96,0.98,0,2.94
 84-94,0,0,0,0,3.19,0,6.37,0,0,2.12,0,0,0,0,0,4.25,1.06,1.06,0,22.3,0,1.06,0,0,0,0,0,1.06,0,0,2.12,0,0,1.06
 96-106,0,0,0,0,1.09,0,10.93,2.19,1.09,0,4.37,0,0,0,1.09,6.56,1.09,0,0,38.25,0,2.19,2.19,0,3.28,0,0,1.09,0,0,3.28,0,0,1.09
108-118,0,0,0.77,0,2.3,0.77,5.36,0,0.77,0,3.06,1.53,0,0,0,3.06,0,0,0,33.7,0,1.53,0.77,0,0.77,0,0,0.77,0,0,3.06,0,0.77,0
120,0,0,0,0,1.96,0,7.84,0,0,0,1.96,0,0,0,0,3.92,1.96,0,0,29.4,0,3.92,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96
