stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,5.26,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,6.29,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0,0,0.82,9.85,0,0.82,0,0,22.16,0,5.75,0,0,0.82
 36-46,0,0,0,0.81,1.61,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0,9.67,0,0.81,0,0,8.86,0.81,6.45,0,0,0
 48-58,0,0,0,0,2.87,0.57,0,0,0,0,0,0,0,0,0.57,0,0,0,6.89,0,0,0,0,4.02,0,2.3,0,0,0
 60-70,0,0,0,1.96,2.94,0,0,1.96,0.98,0,0,0,0,0,0.98,0.98,0,0,8.83,0,0,0,0,6.87,0,1.96,0,0,0
 72-82,0,0,0,0.98,2.94,0,0,1.96,0.98,0,0,0,0,0,2.94,0,0.98,0,8.83,0,0.98,0,0,10.8,0,0.98,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,2.12,0,0,0,0,2.12,0,0,2.12,0,0,8.5,0,0,1.06,0,39.3,1.06,0,2.12,0,0
 96-106,0,0,0,6.56,0,0,1.09,2.19,1.09,0,0,0,0,0,1.09,0,0,0,5.46,0,1.09,0,0,20.76,0,0,2.19,0,0
108-118,0,0,0.77,1.53,1.53,0,0,0.77,3.83,0,0,0.77,0,0.77,0,0.77,0,0,6.13,0,0,0.77,0,22.98,0,0,11.49,0,0
120,0,0,0,3.92,0,0,0,0,7.84,0,0,1.96,1.96,0,0,0,0,0,3.92,0,0,1.96,0,35.28,0,0,3.92,1.96,0
