stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,iridophores,mesenchyme,mucous,mural.cell,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,355.8,2569.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0
  5-6,324.87,3040.3,0,36.78,0,0,0,0,0,0,0,0,0,0,0,600.7,24.52,0,232.93,0,30.65,0,0,0,0,0,0,0
  7-9,0,23.66,0,107.78,0,0,7.89,0,0,0,10.51,0,0,0,0,181.38,86.75,0,541.51,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,75.53,0,0,0,0,0,0,3.15,0,0,0,0,28.32,0,0,53.5,0,0,3.15,0,44.06,0,0,0,0
 14-21,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,4.93,0,0,0,0,0.82,0,0,0,2.46,0,0.82,0
 36-46,0,0,0,0,0.81,0,4.03,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,2.3,0,0,0.57,0,0,4.59,0,0,0,0,0,0,0,0,0,1.15,1.15,0
 60-70,0,0,0,0,0,0,2.94,0,0,0.98,0,0,1.96,0,0.98,11.78,0,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,6.87,0,0,4.91,0,0,3.93,0,0.98,20.61,0,0,0,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,0,0,1.06,0,0,3.19,0,0,2.12,0,1.06,10.62,0,0,0,0,0,0,0,0,0,1.06,3.19,1.06
 96-106,0,0,0,0,0,0,2.19,0,0,2.19,0,0,0,1.09,0,5.46,0,2.19,0,1.09,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,2.3,6.13,0,2.3,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,1.96,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,3.92,0
