stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,2,4,3,2,0,0,0,0,0,0,0,0,2,52,1,0,3,0,4,1,17,0,0,0
 24-34,0,0,0,3.28,0.82,0,0,0,0,2.46,0,0,0,62.39,0,0.82,0,1.64,0,0,22.98,0,0,0
 36-46,0,1.61,0,15.31,1.61,0,0.81,0,0,1.61,0,0,0,56.4,0,0,0,1.61,0,0,12.09,0,0,0
 48-58,0,0,0,14.92,2.3,0,0,0,0.57,6.31,0,0,1.15,25.82,0,0,0,0,0,0,4.02,0,0,0
 60-70,0,1.96,0,14.72,2.94,0,0,0.98,0,2.94,0,0,0,21.59,0,0,0,0,0,0,0.98,0,0.98,0.98
 72-82,0,0,0.98,3.93,0.98,0,0,0,0,2.94,0,0,0,23.56,0.98,0,0,0,0,0,0.98,0,0,0
 84-94,0,1.06,0,9.56,2.12,1.06,0,0,0,1.06,1.06,1.06,0,11.68,1.06,0,0,1.06,0,0,1.06,1.06,2.12,0
 96-106,0,0,0,8.74,2.19,1.09,0,0,1.09,3.28,0,0,0,2.19,1.09,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0.77,3.06,3.06,2.3,0,0.77,0,1.53,0,0,0.77,8.43,0.77,0,0,0.77,0,0,0,0,0,0.77
120,0,1.96,0,5.88,3.92,3.92,0,0,0,1.96,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0
