stage,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,otic,periderm,somites,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,3,0,0,1,1,0
 24-34,0,0,0,0,0.82,0,0,7.39,0.82,0.82,0,0,0
 36-46,0.81,0,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,2.87,0,0,0,0.57,0,0.57,3.44,0,0,0,0,0
 60-70,2.94,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0
 72-82,0.98,0,0,0.98,1.96,0.98,0,1.96,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0,0,1.53,0,0,0,0,0
120,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0
