stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,28,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,12,82,2,1,0,0,0,1,8,0,48,100,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,4.1,0,0,0.82,1.64,0,0,0,0,0,0,0,0,10.67,0,0,5.75,149.4,3.28,9.03,0,0,0,0,0,0,3.28,146.93,0,0,2.46,0,0.82
 36-46,0,0,0,1.61,0,0,53.98,0,0,0,16.92,0,0,0,0,0.81,0,0,0,16.11,0,0,4.03,287.62,0,4.03,0,0,0,0,0,1.61,0.81,381.89,0,0,0.81,0,0
 48-58,0,0,0,3.44,0,0,153.21,0,0,1.72,49.35,0,0,0,0,0,0.57,0,0,17.21,0,1.15,4.02,415.43,0.57,4.02,0,0,0,0,0,1.15,0,477.98,0,0,1.15,0,1.15
 60-70,0,0,0,2.94,0,0,163.91,0,0.98,0,24.54,0,0,0,0,0,0,0,0,10.8,0,0,2.94,364.14,0,0.98,0.98,0,0,0.98,0,0,0,420.09,0,0,0,0,2.94
 72-82,0,2.94,0,3.93,1.96,0,102.09,0.98,2.94,0,22.58,0,0,0,0,0,0,0,0,21.6,0,0.98,0.98,377.94,0,5.89,0,0,0,0.98,0,0.98,0,301.37,0.98,0.98,0.98,0.98,1.96
 84-94,0,2.12,0,3.19,1.06,0,72.22,1.06,0,0,25.49,2.12,0,1.06,1.06,1.06,0,0,0,14.87,0,3.19,2.12,220.9,0,3.19,0,0,0,3.19,0,0,0,178.42,0,2.12,0,0,0
 96-106,0,1.09,0,6.56,3.28,1.09,69.94,1.09,0,4.37,17.49,0,0,0,2.19,1.09,3.28,2.19,1.09,17.49,0,1.09,2.19,204.36,1.09,7.65,1.09,0,0,7.65,0,0,0,84.15,1.09,1.09,1.09,0,2.19
108-118,0,1.53,0,4.6,0,0.77,44.43,0,1.53,0.77,22.98,0.77,0,0,2.3,1.53,0,0,1.53,15.32,0.77,1.53,0,291.83,0,5.36,0,0,0.77,1.53,0,0,0,87.32,0,0.77,0,0,0.77
120,0,0,0,5.88,0,0,31.36,0,1.96,0,21.56,1.96,0,0,0,0,1.96,0,0,5.88,0,0,3.92,207.74,0,0,0,0,0,3.92,0,0,0,88.19,0,0,1.96,0,0
