stage,axial,blastomeres,endoderm,epidermis,eye,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,2.63,0,0,0,0,0,0,34.17,0,0,7.89,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,0,0,0,0,0,0,31.47,0,0,6.29,0,0,9.44,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,3,0,18,1,0,1,0,3,0,0,10,0
 24-34,0,0,0,0.82,2.46,0,0,0.82,0,1.64,0.82,18.88,0,0,0,3.28,0,0,0.82,3.28,1.64
 36-46,0,0,0,0,6.45,0,0,0,0,0.81,0,11.28,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,5.16,0.57,0.57,0.57,0.57,0.57,0,2.3,0,0,0,1.15,0,0,0,0,0.57
 60-70,0,0,0,0,5.89,0.98,0,0.98,0,1.96,0.98,1.96,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0,3.93,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,5.46,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,9.19,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,5.88,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,0
