stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,18.39,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0,0,0,0,2.46,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,3.22,0,0,0,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,2.3,0,1.72,4.59,0,0,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,0,0.98,1.96,0,0,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,1.96,0,0,4.91,0,0,0,2.94,0.98,0.98,0,0,0.98,14.72,0,0.98,11.78,0,1.96,0,0,0,3.93,0,0,2.94,2.94,0,0
 84-94,0,0,1.06,0,1.06,1.06,0,1.06,2.12,1.06,0,0,6.37,0,0,0,1.06,0,7.43,1.06,0,4.25,0,0,0,0,0,5.31,0,0,1.06,0,0,1.06
 96-106,0,0,0,2.19,0,4.37,1.09,0,5.46,0,0,0,7.65,0,1.09,1.09,0,0,6.56,1.09,1.09,5.46,1.09,0,0,0,0,4.37,0,0,1.09,1.09,0,1.09
108-118,0,0,0,4.6,1.53,2.3,0,0,3.06,0.77,0,0.77,5.36,0,3.83,1.53,0,0,9.19,2.3,0.77,3.83,0,0.77,0.77,0,0.77,10.72,0.77,0,0.77,2.3,0,0.77
120,0,0,0,0,0,3.92,3.92,0,1.96,5.88,0,0,5.88,0,0,0,0,0,3.92,0,0,5.88,0,0,0,0,0,41.16,0,0,0,3.92,1.96,0
