stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,26,3,1,0,0,0,0,2,0,10,4,0,0,0,0,0
 24-34,0,0,0,8.21,0.82,0,0,0,6.57,0.82,0,0,0,0,0,0,0.82,0,0.82,104.25,0,0.82,57.46,14.78,0,0.82,1.64,0,0,0.82,0,36.12,9.03,0,0,0,0,0
 36-46,0,0,0,3.22,0.81,1.61,0,0,16.92,0.81,0,0,0,0.81,0,0,6.45,0,0,199,0,0,77.34,59.62,0.81,0.81,0.81,0,0,0.81,0,0,43.51,0,0,0.81,0,0
 48-58,0,0,0,6.89,0,14.35,0,0.57,13.77,2.87,0,1.15,0,0,0,0,3.44,0,0.57,299.53,0,4.02,71.73,123.37,0.57,0.57,1.15,0.57,0.57,0,0,0,100.99,0,0,0.57,0,0.57
 60-70,0,0,0,1.96,0,19.63,0.98,1.96,19.63,6.87,0,2.94,1.96,0.98,0,0,5.89,0.98,0,416.17,0.98,3.93,57.91,135.45,0,0,2.94,0,0,0,0,0,129.56,4.91,0,0,3.93,1.96
 72-82,0,0.98,0,13.74,0.98,40.25,0,0.98,19.63,13.74,0,0,0,0.98,0,0.98,14.72,0,0,564.46,0,6.87,93.26,137.43,0,3.93,1.96,0,3.93,0,0,0,67.73,32.39,0.98,0.98,3.93,0
 84-94,0,0,0,18.05,0,62.66,0,2.12,24.43,7.43,5.31,1.06,0,0,1.06,0,14.87,1.06,0,409.95,0,7.43,74.34,81.78,0,1.06,10.62,0,1.06,0,0,0,43.54,95.58,3.19,2.12,2.12,0
 96-106,0,0,0,15.3,2.19,38.25,1.09,3.28,17.49,9.84,8.74,0,1.09,1.09,1.09,0,24.04,0,0,459,1.09,5.46,81.96,91.8,1.09,5.46,5.46,0,3.28,0,1.09,0,17.49,121.31,3.28,1.09,6.56,1.09
108-118,0,0,0.77,9.19,0,19.15,0.77,4.6,19.15,6.13,3.83,0,0,1.53,0,0,12.26,0,0,382.22,0.77,1.53,74.3,86.55,0,2.3,5.36,0.77,0.77,0,0,0,16.09,92.68,0,0,1.53,0
120,0,0,0,11.76,0,21.56,0,0,9.8,3.92,0,0,0,3.92,0,0,1.96,0,0,231.25,1.96,1.96,50.95,101.91,0,3.92,0,0,0,0,0,0,3.92,35.28,0,0,0,0
