stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,2938.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,15.77,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,10.51,0,18.4,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,75.53,0,0,0,261.2,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,1022.77,6.29,0,0,62.94,0,6.29,0,0,44.06,0,0,0,0,0,0,0,0
 14-21,0,0,1,138,192,51,0,650,0,0,0,13,62,0,8,0,0,0,0,2,12,0,0,4,944,2,1,4,1,0,12,0,3,68,0,3,109,0,0,13,0,0
 24-34,0,0.82,0,79.62,98.5,3.28,0,1459.48,0,0,0,19.7,36.12,0,4.93,0,4.1,0,0,9.85,21.34,0.82,1.64,4.1,1177.11,2.46,4.1,2.46,0.82,0,9.03,0,0.82,22.16,0,2.46,87.83,0,0,39.4,0,0.82
 36-46,0,0,0.81,9.67,36.26,0,0,1786.17,0,0,0.81,33.84,35.45,0,5.64,0.81,0,0.81,0,8.06,39.48,0,4.83,4.83,710.6,4.83,4.03,0.81,0,0.81,3.22,0,0,5.64,0,0,49.95,0,0.81,20.14,0,0.81
 48-58,0,0,0,3.44,32.13,0,0,1239.42,0,0,0.57,43.61,38.44,0.57,8.61,0.57,1.15,0,0,2.3,41.89,0.57,7.46,1.72,526.18,1.72,2.3,0.57,0,0,4.59,0,0,7.46,0,0,36.72,0,0,13.77,0,1.72
 60-70,0,0,2.94,0,26.5,0,0,501.56,0,0.98,0.98,93.24,39.26,0,3.93,0,0,0.98,0,6.87,33.37,0,6.87,1.96,379.85,2.94,1.96,0,0,0,1.96,0,0,9.82,0,0,21.59,0.98,0.98,12.76,0.98,0
 72-82,0,0,4.91,0,39.27,1.96,0.98,347.51,1.96,0.98,2.94,165.9,92.28,0,10.8,1.96,0,0,1.96,3.93,82.46,1.96,9.82,4.91,391.68,0.98,11.78,0.98,0,0.98,4.91,0,0,12.76,0,0,10.8,1.96,3.93,25.52,1.96,0
 84-94,0,0,7.43,3.19,53.1,0,3.19,299.49,0,0,2.12,127.44,145.5,1.06,3.19,1.06,0,0,0,7.43,61.6,1.06,11.68,1.06,244.27,4.25,3.19,2.12,0,0,12.74,0,0,28.68,0,0,15.93,10.62,5.31,30.8,5.31,0
 96-106,0,0,8.74,6.56,55.74,2.19,2.19,300.53,1.09,1.09,2.19,190.16,157.37,0,12.02,1.09,6.56,0,6.56,9.84,62.29,0,4.37,4.37,272.12,2.19,13.11,0,0,0,13.11,0,0,26.23,1.09,0,3.28,15.3,1.09,21.86,5.46,0
108-118,0,0,4.6,5.36,62.81,3.06,8.43,210.64,0.77,0,2.3,155.49,129.45,0,2.3,2.3,6.13,0.77,3.83,10.72,50.55,0,3.83,6.89,332.43,4.6,9.19,0.77,0,0,6.13,0,0,21.45,0,0,3.83,29.11,0.77,18.38,3.06,0.77
120,0,0,1.96,0,56.83,3.92,3.92,195.98,0,0,0,96.03,99.95,0,5.88,3.92,1.96,1.96,0,5.88,39.2,0,1.96,0,276.33,9.8,7.84,1.96,0,0,1.96,0,0,23.52,0,0,5.88,19.6,1.96,13.72,1.96,0
