stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,2240.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,741.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,2.63,0,0,0,36.8,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,189.27,2.63,0,0,23.66,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,28.32,0,0,0,31.47,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,371.34,18.88,0,0,47.2,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,43,4,0,24,0,0,0,4,2,1,0,0,0,0,0,0,1,20,0,0,4,170,3,0,4,0,2,1,8,7,2,35,69,0,0,0,0,0
 24-34,0,0,0,0.82,10.67,0.82,0,22.16,0,2.46,0,4.1,0.82,0,0,0,1.64,1.64,2.46,2.46,0,16.42,0.82,0.82,8.21,194.54,1.64,3.28,4.1,0,3.28,0,0,7.39,0,3.28,45.15,0,0,0.82,0,0.82
 36-46,0,0,0,0,3.22,0,0,20.95,0,0.81,0.81,9.67,2.42,0,0.81,0,4.03,0,1.61,0,0,13.7,0,1.61,2.42,199.81,0.81,4.03,8.06,0,3.22,0,0,4.83,0.81,0,44.31,0,0,2.42,0,0
 48-58,0,0,0,0,2.87,0.57,0,59.1,1.15,1.72,0,23.53,0.57,0.57,0,0,0.57,0,1.15,2.3,0.57,17.21,2.3,1.72,5.74,134.84,0.57,2.87,5.16,0,2.87,0,0,2.3,0.57,0,29.26,0,0.57,2.3,0,0.57
 60-70,0,0,0,0,10.8,0,0,210.05,0,1.96,2.94,39.26,1.96,0,0.98,0,1.96,0,0,0,1.96,32.39,2.94,0,1.96,182.56,0.98,3.93,1.96,0,1.96,0,0,1.96,0.98,0,16.69,0,0,4.91,0,2.94
 72-82,0,0,0.98,0,8.83,0,0,180.63,0,1.96,4.91,28.47,3.93,0,0.98,1.96,1.96,0.98,3.93,0,1.96,49.08,1.96,0.98,5.89,153.14,0,4.91,2.94,0,1.96,0,0,1.96,0.98,0,10.8,0.98,0,8.83,0.98,1.96
 84-94,0,0,0,0,11.68,3.19,1.06,137,1.06,1.06,0,16.99,3.19,1.06,1.06,1.06,2.12,0,2.12,1.06,0,24.43,2.12,1.06,6.37,65.85,3.19,1.06,7.43,0,8.5,0,0,9.56,0,0,6.37,2.12,0,2.12,1.06,0
 96-106,0,0,0,0,10.93,1.09,0,110.38,0,4.37,1.09,28.41,5.46,0,2.19,1.09,3.28,2.19,3.28,1.09,1.09,32.79,2.19,3.28,4.37,76.5,1.09,3.28,9.84,0,13.11,0,0,4.37,1.09,0,1.09,1.09,1.09,5.46,3.28,1.09
108-118,0,0,0,0,9.96,0.77,0.77,97.28,0,2.3,1.53,16.85,6.89,0,0.77,0,6.89,1.53,4.6,3.06,0.77,19.92,0.77,0,7.66,91.15,1.53,6.89,10.72,0,5.36,0,0,0.77,0,0,0.77,1.53,0.77,4.6,0.77,3.83
120,0,0,0,1.96,19.6,1.96,0,47.03,0,1.96,0,17.64,5.88,0,3.92,0,1.96,0,0,1.96,0,21.56,0,0,1.96,54.87,0,0,1.96,0,7.84,0,0,3.92,0,0,0,0,0,1.96,3.92,0
