stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,1,3,7,0,0,0,0,2,0,1,2,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0,1.64,0,20.52,0,0,0,0,0,0.82,0,4.93,0,0,0
 36-46,0,3.22,0.81,0,0,0,0,0,0,0,0,25.78,0,0.81,0,0.81,0,0,0,3.22,0,0,0.81
 48-58,0,5.74,0,1.72,0,0,0,0,0,2.87,0,20.08,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,3.93,0.98,0.98,0,0,0,0,0,0,0.98,13.74,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,2.94,0,0,0.98,0,0.98,0,0,3.93,0,2.94,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,1.06,3.19,0,0,0,1.06,0,0,0,2.12,0,5.31,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,4.37,0,0,0,0,0,1.09,0,2.19,0,6.56,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0.77,2.3,0.77,5.36,0,0.77,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
