stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,89,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,51,1,0,0,2,0,0,1,0,2,25,0,0,0,0,4
 24-34,1.64,3.28,0,6.57,0,0,0,3.28,0,0,1.64,0,0,0.82,0.82,0.82,0.82,7.39,0,0,0.82,416.99,0,2.46,0,0,0,0,0.82,0,0,21.34,0,0,0,0,3.28
 36-46,0,4.03,0,16.92,0,0,0.81,3.22,0,0,0,0,0,0,0,0,0.81,15.31,0,0,1.61,793.58,0.81,1.61,0,0,0,0,0,0,0,25.78,0,0,0.81,0,0.81
 48-58,1.15,4.59,0,140.01,0,0,1.15,18.94,0,0.57,0,0,0,0,1.15,0.57,0.57,28.12,0.57,1.15,5.74,1110.89,0,1.15,0.57,0,0,1.15,0,0.57,0,53.94,0,0,0.57,0,5.16
 60-70,0.98,2.94,0.98,262.07,0,0,2.94,14.72,0,0,0.98,0,0,0,0,0,0,40.24,0,0,2.94,1239.66,0,0.98,0,0,0,2.94,0,0.98,0,62.82,0,0,0.98,0.98,0
 72-82,0.98,10.8,7.85,343.58,0,0.98,3.93,57.92,1.96,0,0,5.89,0.98,0,0.98,0,0.98,115.84,0.98,2.94,1.96,1608.94,0.98,2.94,1.96,0,2.94,4.91,0,0.98,0,62.83,1.96,2.94,2.94,0.98,4.91
 84-94,0,22.3,1.06,194.35,1.06,2.12,1.06,45.67,1.06,0,0,3.19,0,1.06,0,0,1.06,63.72,1.06,2.12,2.12,825.2,0,1.06,1.06,0,0,4.25,2.12,0,0,30.8,0,1.06,4.25,0,2.12
 96-106,1.09,18.58,8.74,169.39,2.19,2.19,1.09,39.34,3.28,0,1.09,2.19,0,4.37,1.09,2.19,0,77.59,0,2.19,6.56,752.97,2.19,0,1.09,0,1.09,6.56,0,0,0,7.65,3.28,0,3.28,0,2.19
108-118,0.77,14.55,3.83,133.28,0.77,0,3.06,34.47,2.3,0,1.53,0.77,0,0.77,0,0.77,0.77,62.81,0,0.77,2.3,968.94,0,1.53,1.53,0,0,3.83,0,0,0,8.43,0,1.53,0.77,1.53,0
120,0,11.76,1.96,101.91,0,0,0,37.24,0,0,0,0,0,0,0,3.92,0,52.91,1.96,3.92,1.96,1107.28,5.88,0,0,0,0,0,0,0,0,9.8,1.96,0,0,0,0
