stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,1,0,0,1,0,0,0,0,1,0,16,1,0,0,3,6,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,0,0,0,0,0,0.82,0,23.8,0,0,0,0,6.57,0,0,0,0.82
 36-46,0,0,0,3.22,0,0,0.81,0,0,0,0,2.42,0,24.98,0,0.81,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,1.15,0,1.15,0,0.57,0,0,0.57,4.59,0,9.18,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0,0,1.96,0,6.87,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,3.93,0,0,1.96,0,0,0.98,0,10.8,0,4.91,0,0,0,0,1.96,0.98,0.98,0,0
 84-94,0,0,0,5.31,0,1.06,0,0,0,0,0,8.5,1.06,7.43,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,1.09,1.09,1.09,2.19,1.09,0,1.09,0,0,2.19,0,3.28,0,0,1.09,0,1.09,1.09,0,1.09,0
108-118,0,1.53,0,3.06,0,0,0.77,0,0,0,0,3.83,0,3.83,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
