stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,3,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0.82,0,2.46,0,0,0,0,0,7.39,0,0
 36-46,0,0,0,0,4.03,0.81,0.81,0,0,0,0,0.81,0,8.06,0.81,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,4.02,0,1.15,0,0,0,0,0.57,0,5.74,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,6.87,0,0,0,0,0,0,0.98,0.98,6.87,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,32.39,0,1.96,0,0,0,0.98,3.93,0,5.89,0,0,0.98,0,0,3.93,0.98,0.98
 84-94,0,0,0,0,37.17,0,2.12,0,1.06,0,1.06,5.31,0,2.12,0,0,1.06,0,0,3.19,0,0
 96-106,0,0,1.09,1.09,33.88,0,4.37,1.09,0,0,0,6.56,0,10.93,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,40.6,0,3.06,0,0,0.77,0.77,7.66,1.53,6.89,0,0,0,0,0,0,0,0
120,0,0,3.92,0,52.91,0,0,0,0,0,0,5.88,0,17.64,1.96,0,0,0,0,0,0,0
