stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,1,0,0,0,0,12,0,0,0
 24-34,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,141.19,0,0,0,0.82,0,0.82,36.94,0,0,0
 36-46,2.42,0,6.45,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,420.56,0,0.81,0,0.81,0,0,104.74,0,0,0.81
 48-58,1.15,0,39.59,0,0.57,4.02,0,0,0,0,0,0,0.57,2.3,0,0,0,382.15,0,1.15,0,2.3,0,0,76.32,0,0,0.57
 60-70,0,0,149.19,0,0,3.93,0,0,0.98,0,0,0,0,1.96,0,0.98,0,375.92,0,0.98,0,0.98,0,0,81.47,0,0,0
 72-82,3.93,0,146.27,0.98,1.96,2.94,0,0,0,0,0,0,0,8.83,0,0,0.98,260.14,0,0,0.98,0.98,0.98,0,45.16,0.98,0.98,0
 84-94,1.06,1.06,64.78,0,1.06,8.5,0,1.06,1.06,1.06,2.12,0,0,7.43,0,0,2.12,129.57,0,0,0,0,0,0,20.18,0,1.06,0
 96-106,2.19,0,67.76,0,0,7.65,0,0,0,0,0,1.09,0,5.46,1.09,0,1.09,101.63,0,1.09,0,2.19,0,0,3.28,1.09,0,0
108-118,0.77,0,34.47,0.77,0.77,3.83,0,0,0,0.77,0.77,0,0,3.83,0,0,4.6,116.43,0,0.77,0,0.77,0,0,5.36,3.83,1.53,0
120,3.92,0,45.08,0,0,7.84,0,0,1.96,0,0,0,0,7.84,0,0,0,133.27,1.96,0,0,1.96,0,0,9.8,0,0,0
