stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,mural.cell,neural,periderm,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,0.98,0.98,0.98,0.98,1.96,0,0,2.94,0,0
 84-94,0,0,0,0,0,6.37,0,0,2.12,0,1.06,1.06,0,0
 96-106,3.28,1.09,0,0,0,12.02,1.09,0,6.56,0,0,1.09,1.09,2.19
108-118,0,0.77,0.77,0.77,0,9.19,0.77,0,5.36,0.77,0,1.53,0,0.77
120,0,1.96,0,0,0,17.64,1.96,0,3.92,0,0,3.92,0,0
