stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,18.4,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,22.03,0,0,22.03,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,2,29,7,0,0,1,0,0,0,1,3,23,0,0,1,0,0
 24-34,0,0,0.82,0,1.64,0.82,4.1,0,0,0.82,2.46,0,0,0,0,0,0,0.82,0.82,0,0,5.75,145.29,0,6.57,0.82,0,0,0,0,0,0.82,36.12,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,14.5,0,0,0,2.42,0,0,0,0,0,0,0,5.64,0,0,1.61,213.5,0.81,1.61,0.81,0,0,0.81,0,0,0,69.29,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,17.79,0.57,0,1.15,2.3,0,0.57,0,2.87,0,0.57,0,16.07,0,2.87,4.02,171.57,0.57,4.02,1.72,0,1.15,0,0,0,0,54.51,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,3.93,0,36.32,0,0,0.98,6.87,1.96,0.98,0,2.94,0,2.94,0,47.11,0,0.98,0.98,258.14,0,2.94,1.96,0,0.98,0,0,0,0,60.85,0,0,0.98,0,0
 72-82,0,0,4.91,0,6.87,0.98,53.01,0,0.98,6.87,17.67,3.93,0.98,0,2.94,0,1.96,0,79.51,0.98,4.91,3.93,240.51,0,10.8,5.89,0,1.96,0,0,0,0,39.27,0.98,2.94,1.96,0.98,0
 84-94,0,0,2.12,0,2.12,0,32.92,0,0,3.19,9.56,6.37,0,0,6.37,0,4.25,0,65.85,0,7.43,4.25,157.18,3.19,4.25,7.43,0,2.12,0,0,0,0,27.61,0,2.12,1.06,1.06,0
 96-106,0,0,2.19,0,3.28,0,39.34,1.09,0,3.28,8.74,3.28,0,0,4.37,1.09,2.19,1.09,78.68,0,1.09,3.28,175.95,1.09,4.37,7.65,0,12.02,2.19,2.19,0,0,13.11,0,4.37,3.28,5.46,0
108-118,0,0,1.53,0.77,3.83,0,41.36,0.77,0.77,2.3,14.55,2.3,0,1.53,9.19,0,3.83,0,68.94,0,1.53,4.6,215.24,0,6.13,4.6,0,4.6,0.77,0,0,0,12.26,0.77,0.77,3.06,2.3,0
120,0,0,3.92,0,3.92,3.92,33.32,0,0,0,17.64,1.96,0,0,3.92,0,0,1.96,56.83,0,7.84,0,197.94,0,1.96,3.92,0,1.96,3.92,0,0,0,13.72,1.96,1.96,0,0,0
