stage,epidermis,erythrocytes,eye,fin.epithelia,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,vasculature
  5-6,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0
  7-9,0,0,2.63,0,0,0,0,2.63,0,0,7.89,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0.81,0,2.42,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,6.37,0
 96-106,3.28,0,0,0,0,1.09,0,0,0,0,0,16.39,0
108-118,1.53,0,0,0.77,0,0,0,0.77,0,0,0,6.89,0.77
120,1.96,0,0,0,0,0,0,3.92,0,0,0,3.92,0
