stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0
 24-34,0,0,0.82,0,0.82,0,0,5.75,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,5.75,0,0,1.64,62.39,0,0,0.82,0,0,0,0,0,0,0,13.13,0,0,2.46,0,0.82
 36-46,0,0,0,0,0.81,0,0,8.06,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0.81,11.28,0,0,1.61,55.59,0,2.42,0,0,0,0,0,0,0,0,10.47,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,0,23.53,0.57,0,0,4.59,0.57,0,0,0.57,0,0,0,0,0.57,9.75,0,0,1.15,56.23,0,0.57,0.57,0,0,0.57,0,0,0.57,0.57,10.9,0,0,2.87,0,0.57
 60-70,0,0,0,0,0,0,0,32.39,0,0,0,6.87,0,0,0,0,0.98,0,0,0,0,13.74,0,0,0,45.15,0,0.98,0.98,0,0,0,0,0,0,0,5.89,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,38.28,0,0,1.96,11.78,0,0,0,0.98,0,0.98,0,0,0,29.45,0.98,0,0.98,58.9,0,0.98,0,0,0,1.96,0,0,0,0,4.91,0,0,3.93,1.96,0.98
 84-94,0,0,0,0,4.25,1.06,0,26.55,0,0,0,8.5,0,0,0,4.25,1.06,1.06,0,0,1.06,31.86,0,1.06,0,31.86,0,1.06,2.12,0,0,2.12,0,0,1.06,0,1.06,3.19,0,2.12,0,1.06
 96-106,0,0,0,0,3.28,1.09,0,28.41,0,0,0,4.37,0,0,1.09,4.37,0,2.19,2.19,1.09,0,21.86,0,0,2.19,33.88,0,2.19,1.09,0,1.09,7.65,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0,3.06,0.77,0.77,26.04,1.53,1.53,0.77,3.83,0.77,0,0.77,0.77,0,1.53,0,0,0.77,15.32,0,0.77,0.77,29.11,0.77,0,1.53,0,0,3.06,0,0,0.77,0.77,0.77,0,0.77,6.13,0,0.77
120,0,0,0,0,5.88,1.96,0,17.64,0,0,0,3.92,1.96,0,0,5.88,0,0,0,0,0,7.84,0,0,1.96,41.16,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,3.92,1.96,0
