stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,5,15,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,30,0,2,0,0,0,0
 24-34,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,18.06,0.82,0,2.46,0,0,0,2.46,0,0
 36-46,0,4.83,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,13.7,0,0,0,0,0,0,0.81,0,0
 48-58,0,1.15,0.57,0,0,2.87,0,0,0.57,0,0.57,0,0,1.72,0,0.57,30.41,0,0,0.57,0,0,0.57,2.87,0,0
 60-70,0,0.98,0,0,0,6.87,0,0,0,0,0,0,0,2.94,0,1.96,30.43,0,0,0,0,0,0.98,1.96,0,1.96
 72-82,0,2.94,0.98,0.98,0,12.76,0,0,5.89,2.94,0,0,0,3.93,0,0.98,93.26,0,0,0.98,0,0,1.96,7.85,0,0.98
 84-94,0,4.25,1.06,0,1.06,7.43,0,0,3.19,2.12,0,0,1.06,4.25,0,0,41.42,0,0,2.12,0,0,0,3.19,0,0
 96-106,0,2.19,2.19,0,0,6.56,0,0,2.19,0,2.19,1.09,0,3.28,0,1.09,38.25,1.09,0,1.09,1.09,0,2.19,2.19,1.09,0
108-118,0,1.53,1.53,0,0.77,6.13,0.77,0.77,5.36,0.77,0,0,0,6.89,0.77,0.77,59.75,0,0,1.53,0,0,0.77,0.77,0,0
120,0,3.92,0,3.92,0,1.96,0,0,0,0,0,0,0,5.88,0,0,58.79,0,0,0,0,0,1.96,0,0,0
