stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,4,0,0,0,2,43,0,0,0,0,0
 24-34,0,0,0,4.1,0,0,7.39,0,1.64,0,0.82,0,0,0.82,0,0,0,0,0,0,4.1,0.82,0,0.82,550.79,0,34.48,0,0,0.82,0,116.56,0,0,0.82,0,0
 36-46,0,0.81,0,3.22,0,0,137.77,0,0,0,11.28,0,0,0.81,0,0,0,1.61,0,0.81,7.25,0,0,1.61,1854.65,0.81,47.53,0,0,0.81,0,315.02,0,0,0.81,0,0.81
 48-58,0,0,0,4.59,0.57,0,396.5,0,0.57,0,45.9,0,0.57,0,0,0,0.57,0,1.15,1.72,15.49,0,0.57,3.44,2299.24,0.57,33.85,1.15,0,2.87,0,391.33,0,0,0,0,1.72
 60-70,0,0,0,4.91,0.98,0,627.19,0,0.98,0.98,71.65,0,0,0,1.96,0.98,0.98,0,0,0,34.35,0,0.98,0,2689.37,0,26.5,0.98,0,2.94,0,366.11,0,0,0,0,0
 72-82,0,0,0,11.78,2.94,0,492.79,0,0,2.94,82.46,0,0,0,1.96,0,0.98,0.98,0,0,31.41,0,0.98,2.94,1828.84,0,49.08,1.96,0,1.96,0,160.01,1.96,0.98,3.93,1.96,5.89
 84-94,0,0,0,13.81,3.19,0,293.12,0,1.06,1.06,56.29,0,0,1.06,2.12,0,2.12,2.12,0,0,31.86,0,1.06,3.19,850.69,0,35.05,3.19,0,1.06,0,96.65,1.06,0,1.06,0,1.06
 96-106,0,0,0,10.93,1.09,0,208.73,0,2.19,1.09,66.66,1.09,0,2.19,1.09,0,0,1.09,1.09,1.09,20.76,1.09,1.09,1.09,736.58,1.09,45.9,1.09,0,2.19,0,34.97,1.09,2.19,1.09,1.09,3.28
108-118,0,2.3,0,12.26,1.53,0.77,176.17,0.77,0.77,0.77,54.38,2.3,0,0,2.3,0.77,0.77,0.77,0.77,0,15.32,0,0,0.77,825.71,0,36,0,0,2.3,0,24.51,2.3,0.77,1.53,0.77,3.83
120,0,0,1.96,9.8,1.96,0,233.21,0,3.92,0,50.95,3.92,0,0,3.92,0,0,1.96,0,0,21.56,0,0,0,887.78,0,35.28,3.92,1.96,3.92,0,43.12,0,1.96,0,0,1.96
