stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,7,21,0,0,1,88,1,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0,0,17.24,8.21,0.82,0,0.82,1.64,0.82,37.76,5.75,0.82,1.64,0,187.98,4.1,0,1.64,0,0
 36-46,0,0,0,0,0,0.81,2.42,0,0,0,0.81,0,0,3.22,6.45,0,0,1.61,0.81,0,34.64,8.86,0,2.42,0,170.8,1.61,0,0,0,0
 48-58,0,0,0,0,5.74,0,5.16,0.57,0,1.15,0.57,0,1.15,1.15,13.2,0,0.57,0.57,3.44,0.57,27.54,5.74,0,3.44,0,107.3,3.44,0,0,0,0.57
 60-70,0,0,0,0,13.74,0,4.91,3.93,0,5.89,0.98,0,0,3.93,15.7,0,0,2.94,1.96,0,41.22,6.87,1.96,5.89,0,99.13,1.96,1.96,0,0,0
 72-82,0,0,1.96,0.98,15.71,0,3.93,0,0,7.85,16.69,0.98,2.94,5.89,25.52,0,0,3.93,7.85,0,67.73,1.96,1.96,10.8,0,80.5,0.98,6.87,0,0.98,0
 84-94,0,0,2.12,0,26.55,1.06,7.43,2.12,0,6.37,28.68,1.06,5.31,12.74,26.55,0,0,0,11.68,0,47.79,11.68,1.06,12.74,0,221.97,0,29.74,3.19,1.06,0
 96-106,0,0,1.09,0,33.88,0,3.28,4.37,1.09,4.37,34.97,3.28,6.56,12.02,39.34,1.09,0,6.56,9.84,0,43.71,15.3,1.09,8.74,0,122.4,0,63.39,5.46,0,0
108-118,0,0,0.77,0,29.11,0,6.89,0.77,0,12.26,39.06,1.53,8.43,13.79,32.94,0,0,3.83,13.79,0,51.32,21.45,2.3,10.72,0,108.77,0,98.04,0,0,0
120,0,0,3.92,0,17.64,0,5.88,0,0,11.76,23.52,0,13.72,7.84,19.6,0,0,3.92,1.96,0,47.03,27.44,3.92,13.72,0,47.03,1.96,33.32,3.92,0,0
