stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,3,2,1,2,0,0,0,0,0,0,0,0,2,0,3,41,1,0,0,4,0,5,3,2,0,0,0
 24-34,0,0,0,0.82,0,10.67,0,0,0,0,0,0,0,0,6.57,0,3.28,72.24,0,0,0,4.93,0,0,0,13.13,0.82,0,0
 36-46,0,0,0,0,0,18.53,0,1.61,0.81,0,0,0.81,0,0,9.67,0,1.61,36.26,0,0.81,0,2.42,0,0,0,11.28,0.81,0,0.81
 48-58,0,0,0,1.72,0,13.77,0,4.02,0,0.57,0,0,0,0.57,5.74,1.15,1.15,30.99,0,0,0,0,0,0,0,4.59,1.15,0,0
 60-70,0,0,0,0.98,0.98,12.76,0,0,0,0,0,0.98,0,0,3.93,1.96,0.98,2.94,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,6.87,0,1.96,0.98,0,0,0,0,0,8.83,0,0,2.94,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,4.25,0,0,0,0,1.06,0,0,0,4.25,1.06,0,4.25,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,3.28,0,1.09,0,0,0,0,0,0,6.56,0,0,9.84,0,2.19,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,2.3,0,3.06,0.77,2.3,0.77,0,0,0.77,0.77,0,5.36,0,3.06,6.13,0,0.77,0,0.77,0,0,0,0,2.3,0,0
120,0,0,0,1.96,0,0,0,1.96,1.96,0,1.96,0,0,0,3.92,0,1.96,11.76,0,0,0,1.96,0,0,0,0,0,0,0
