stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,2.63,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
 24-34,0,0,0,0,17.24,0,0,0,0,0,0,0.82,0,0,4.1,0,0,11.49,0,0,0.82
 36-46,0,0,0,0.81,39.48,0,0,0,0.81,0,0,0,0,0,4.83,0,0,16.11,1.61,0,0
 48-58,0,0,0,0,21.23,0.57,0,0,0,0,0,1.15,0,0.57,4.02,0,0,14.35,1.15,0,0
 60-70,0,0,0,2.94,24.54,0.98,0,0,0,0,0,0.98,0,0,0.98,0,0,40.24,0,0,0
 72-82,0,0,0,2.94,24.54,0.98,0,0,0,0,0,0,0,0,3.93,0,0,53.99,0,0,0
 84-94,0,0,0,8.5,19.12,3.19,1.06,0,0,0,1.06,0,0,0,4.25,0,0,141.25,0,0,0
 96-106,0,0,0,25.14,10.93,1.09,0,0,0,0,2.19,1.09,0,0,2.19,1.09,0,182.51,1.09,1.09,0
108-118,0,0,0,19.15,19.92,1.53,0.77,0.77,0,1.53,1.53,3.06,0,0,3.06,0,0,128.68,0,0,0
120,0,0,0,1.96,7.84,3.92,0,0,0,0,3.92,0,1.96,0,3.92,0,0,143.06,0,0,0
