stage,endoderm,epidermis,eye,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0
 10-12,9.44,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,9,1,2,0,1,0,0,20,0,0,0
 24-34,0,1.64,15.6,0,0.82,0,0,0,0.82,101.79,0,2.46,0,0,0,0,38.58,0,0,0
 36-46,0,0.81,124.88,0,0.81,0,0,0,0,172.41,0,0.81,0,0,0,0,20.95,0,0,0
 48-58,0,0.57,219.19,0,1.15,1.15,0,0.57,1.15,150.91,0,0,0,0,0.57,0.57,16.07,0,0,0
 60-70,0,0.98,127.6,0,0.98,0.98,0,0,1.96,149.19,0,0,0,0,0,0,12.76,0,0,0
 72-82,0,0.98,97.18,0.98,0,1.96,0,0,0,137.43,0,0.98,0,0,0,0,10.8,0,0,0
 84-94,0,1.06,87.09,1.06,6.37,1.06,0,1.06,1.06,96.65,0,0,0,0,0,0,7.43,1.06,1.06,0
 96-106,0,1.09,30.6,0,4.37,2.19,0,0,3.28,79.78,0,0,1.09,0,0,0,2.19,0,0,1.09
108-118,0,0,29.87,0,1.53,0.77,0.77,0,0.77,100.34,0,0,0,0,0.77,0,0.77,0,0.77,0
120,0,0,21.56,0,3.92,0,0,0,0,78.39,1.96,0,0,0,0,0,3.92,0,0,0
