stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,224.02,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.98,0,0,0,0,0,0,0,0,0,0
  5-6,496.5,1140.11,0,18.39,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,110.33,6.13,0,0,24.52,0,533.28,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,23.66,0,57.83,0,0,68.35,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,478.43,21.03,0,0,136.69,0,110.41,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,69.23,0,6.29,62.94,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1444.46,56.65,0,0,368.2,0,66.09,0,0,72.38,0,3.15,6.29,0,0,0,0
 14-21,0,0,0,1,438,12,25,0,0,9,3,6,1,0,3,0,0,2,0,25,6,0,11,250,7,8,4,4,0,811,0,40,2,4,23,93,0,2,0,1
 24-34,0,0,0,0,102.61,0.82,13.95,4.93,0,0.82,0,0,0.82,0,0.82,0,1.64,0.82,0,8.21,1.64,0,4.1,47.61,0,27.91,6.57,0,0,613.18,0,0,0,0,1.64,8.21,0,0,0,0
 36-46,0,0,0,0,47.53,0,4.03,4.03,0,0,0,0,0,0.81,0.81,0,0,0,0.81,0.81,2.42,0,0,29.81,0.81,15.31,0.81,0,0,396.39,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,32.13,0,4.02,8.61,0,1.72,0.57,0,0,0.57,0.57,0,0,0,0.57,2.87,0,0.57,0.57,8.61,0,11.48,0.57,0,0,187.63,0,0,0,0,0,2.3,0,0,0,0.57
 60-70,0,0,0,0,38.28,0,3.93,14.72,0,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0,0,7.85,0,6.87,1.96,0,0,182.56,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,66.75,2.94,4.91,12.76,0.98,4.91,7.85,0,0.98,0,0,0,0,0,0,3.93,0,1.96,0,7.85,0,16.69,2.94,0,0,176.7,0,0,0,0,0,0.98,12.76,1.96,0,0
 84-94,0,0,0,0,150.81,2.12,5.31,53.1,0,1.06,14.87,0,0,0,1.06,0,0,0,0,4.25,1.06,0,1.06,6.37,1.06,57.35,8.5,0,0,435.44,0,0,0,0,0,0,48.85,0,1.06,0
 96-106,0,0,0,0,237.15,2.19,10.93,62.29,0,3.28,46.99,0,0,0,0,0,1.09,0,0,4.37,2.19,0,1.09,24.04,1.09,53.55,6.56,0,0,378.12,0,0,0,0,0,0,66.66,1.09,0,1.09
108-118,0,0,1.53,0,206.81,0,5.36,85.79,0,3.83,45.96,0,0,1.53,2.3,0.77,0.77,0.77,0,6.89,0.77,1.53,0,22.98,0,39.06,5.36,0,1.53,448.85,0,0,0,0,0,0.77,55.15,0,0,0
120,0,0,0,0,145.02,1.96,3.92,60.75,0,0,11.76,0,0,0,0,0,1.96,0,0,0,1.96,0,0,17.64,0,23.52,1.96,0,1.96,215.58,0,0,0,0,0,0,11.76,0,0,0
