stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,0,0,0,0.82,0,20.52,0,0,0,0,6.57,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,8.06,0,1.61,0.81,0,0.81,0.81,0,2.42,0,2.42,0,0.81,104.74,0,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,7.46,0,8.61,0,0,0.57,1.72,0,1.15,0,3.44,0,0.57,65.41,0,0,0,1.15,0,0,8.61,0,0,0,0,0
 60-70,0,0,0,0,13.74,0,12.76,0.98,0,0.98,4.91,0,5.89,0,7.85,0.98,0.98,26.5,0,0.98,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0,0,15.71,0,4.91,0,0,0,12.76,0,17.67,0,16.69,0.98,3.93,23.56,0,5.89,0,0.98,0,0,0.98,0,0,0,0.98,0.98
 84-94,0,0,1.06,0,22.3,0,3.19,3.19,2.12,0,26.55,0,36.11,0,9.56,0,1.06,11.68,0,2.12,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,18.58,0,3.28,0,1.09,0,38.25,0,36.06,0,10.93,0,0,25.14,1.09,7.65,0,2.19,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,15.32,0,4.6,2.3,0.77,1.53,39.83,0.77,44.43,0.77,10.72,0,0.77,19.15,0,6.13,0,2.3,0,0,1.53,0,0,1.53,0,0
120,1.96,0,1.96,0,15.68,3.92,0,1.96,0,0,43.12,0,37.24,0,11.76,0,0,27.44,0,1.96,0,0,0,0,0,0,1.96,0,0,0
