stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,14,5,0,3,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,1,58,2,0,0,0,0,0,1,0,0,0,28,0,0,7,0,0
 24-34,1.64,1.64,17.24,0,0,11.49,0,0,0,0.82,0,0,0,0,0,0,0,0,0,7.39,0.82,0,4.1,559.82,0,0.82,0,0,1.64,0,0,2.46,0,0.82,137.08,0,0,4.93,0,0
 36-46,0,0,3.22,0,0,28.2,0.81,0.81,0.81,12.09,0,0.81,0.81,0,0,0,0,0,0.81,16.92,0,0,2.42,1546.89,1.61,1.61,0.81,0,2.42,0,0,0.81,0,0,254.59,0,0,0,0,0.81
 48-58,0,0,12.05,1.15,0,173.86,0,0,0,44.18,0.57,0,0.57,0.57,0,0.57,0.57,1.15,0,44.18,0.57,0,6.31,2590.16,0.57,1.72,1.15,0.57,2.3,0,0,0,0,0,324.2,0,0,1.72,0,1.15
 60-70,1.96,0,15.7,0,0,441.68,0.98,1.96,0.98,55.95,1.96,0,0,0.98,0,0.98,0.98,0.98,0,70.67,0.98,1.96,5.89,3843.64,0,3.93,3.93,0,2.94,0,0,0.98,0.98,0,401.44,2.94,0.98,2.94,0,1.96
 72-82,1.96,0,21.6,4.91,0,689.13,0,0,0.98,104.06,4.91,0,0.98,1.96,0,1.96,0.98,0.98,0.98,103.07,0,0,4.91,3966.9,0,7.85,9.82,1.96,3.93,0,0,0,0,0,276.83,9.82,4.91,2.94,0,0.98
 84-94,2.12,1.06,43.54,6.37,1.06,553.32,2.12,3.19,5.31,97.71,8.5,0,2.12,2.12,4.25,1.06,1.06,2.12,1.06,100.89,1.06,4.25,7.43,2000.88,1.06,3.19,9.56,2.12,7.43,1.06,0,0,0,0,169.93,32.92,3.19,3.19,0,1.06
 96-106,1.09,0,32.79,4.37,0,374.85,1.09,2.19,1.09,86.33,7.65,0,0,6.56,1.09,0,0,6.56,0,54.64,0,1.09,3.28,1672.06,1.09,6.56,4.37,1.09,10.93,0,0,0,0,0,59.01,64.48,1.09,3.28,1.09,1.09
108-118,0.77,0.77,28.34,2.3,1.53,314.81,0,3.06,2.3,65.87,3.83,0,0,4.6,0.77,2.3,0,0,0,56.68,0,0,1.53,1718.05,0,4.6,4.6,2.3,6.13,0,0,0,0,0,58.21,69.7,2.3,3.83,0,0.77
120,1.96,0,27.44,0,0,333.16,3.92,5.88,3.92,94.07,3.92,0,0,7.84,1.96,0,0,1.96,0,50.95,0,1.96,5.88,1993.1,3.92,3.92,3.92,0,3.92,0,0,3.92,0,0,68.59,23.52,1.96,7.84,0,0
