stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,muscle,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,26.36,724.79,0,0,0,0,0,0,0,0,65.89,0,0,0,0
  5-6,49.04,343.26,0,0,0,0,0,0,36.78,0,18.39,0,0,0,0
  7-9,0,5.26,2.63,0,13.14,0,2.63,0,99.89,52.57,0,2.63,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,34.62,22.03,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,0,2.19,0,0,0
108-118,0,0,0.77,0,0,0.77,0,1.53,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0
