stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,4,0,0,1,0,0,0,0,0,143,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,4,2,1,0,4,7,0,0,0,0,0
 24-34,0,0,5.75,0,0,10.67,0,0,0,0.82,0,36.12,0,0,0.82,0,0,0,0,1.64,0,0,1.64,6.57,0,0.82,0,0,0,0,0,0,0.82,0,10.67,0,0,0,0,0
 36-46,0,0,9.67,0,0,59.62,0,0,0.81,0,0,7.25,0,0,0,0,0,0,0,0.81,0,0,0,8.86,0.81,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0
 48-58,0,0,14.35,0,0,393.06,0,1.15,1.15,2.3,0,8.03,0,0,0,0,0,0,0,2.3,0,0,2.3,22.95,0,0,0,0,0,1.15,0,0,0,0,7.46,0,0,0,0,0.57
 60-70,0,0,15.7,0.98,0,1262.24,0,0.98,0,10.8,0.98,0,0.98,3.93,3.93,0,0.98,1.96,0,19.63,0,0,3.93,109.93,0.98,0.98,1.96,0,0,4.91,0,0,0,0,13.74,1.96,0,0,0,3.93
 72-82,0,2.94,23.56,12.76,0,1716.93,2.94,5.89,9.82,48.1,2.94,6.87,0,1.96,4.91,3.93,1.96,3.93,0.98,87.37,3.93,3.93,9.82,270.94,0.98,3.93,5.89,0,0,15.71,0,0.98,0.98,0,27.49,1.96,2.94,8.83,6.87,7.85
 84-94,0,0,29.74,3.19,0,1793.78,2.12,2.12,3.19,22.3,5.31,6.37,0,2.12,1.06,4.25,1.06,3.19,1.06,58.41,0,4.25,7.43,97.71,2.12,3.19,4.25,0,0,14.87,0,3.19,0,0,11.68,2.12,3.19,8.5,3.19,4.25
 96-106,0,0,41.53,7.65,1.09,1358.41,4.37,7.65,1.09,28.41,6.56,0,3.28,9.84,4.37,3.28,2.19,3.28,0,67.76,3.28,1.09,2.19,122.4,0,4.37,4.37,1.09,1.09,32.79,0,1.09,1.09,0,8.74,2.19,3.28,8.74,3.28,4.37
108-118,1.53,2.3,21.45,11.49,0.77,972.77,0,4.6,2.3,28.34,6.89,0,0,4.6,4.6,0,2.3,8.43,1.53,51.32,0.77,1.53,14.55,160.85,2.3,2.3,2.3,0,0.77,17.62,0,0,0.77,0,3.83,1.53,2.3,1.53,1.53,2.3
120,0,0,17.64,9.8,1.96,1073.96,1.96,7.84,1.96,19.6,3.92,0,0,1.96,3.92,5.88,1.96,1.96,0,31.36,0,1.96,3.92,133.27,1.96,0,3.92,0,0,9.8,0,1.96,1.96,0,3.92,1.96,0,5.88,1.96,1.96
