stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,54,3,2,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,3,82,0,0,0,1,0,30,1,0,1,3,43,0,0,2,0,0
 24-34,0,0,0,11.49,0,2.46,0,0.82,0,4.93,0,0,0.82,0,1.64,0,0,0,4.93,0,0,0,133.8,0,1.64,0,0,0,0,0,0,0,2.46,53.36,0,0,4.93,0,0
 36-46,0,0,0,9.67,0,4.03,0,0,0,42.7,0,0,1.61,0,1.61,0,0,0.81,10.47,0,0,1.61,178.05,0,0.81,0,0,0,0,0,0,0,0,46.73,0,0,1.61,0,0.81
 48-58,0,0,0,12.62,0,15.49,0,2.3,0.57,126.24,0,0,1.15,0,0,0,0.57,0.57,50.49,0,0,3.44,279.44,0,0.57,2.3,0,0,0,0,0.57,0,0,63.12,0,0.57,0,0,0.57
 60-70,0,0,0,14.72,0,28.46,0,1.96,2.94,207.1,0,0,0,0.98,0,0,0,0,64.78,0,0.98,0.98,532.97,0,0,1.96,0,0,0.98,0,0,0.98,0,71.65,0,1.96,0,0,0
 72-82,0,0,0,8.83,0,78.53,0.98,3.93,0.98,255.23,0,0,0,0,0,0.98,0,0,93.26,0,4.91,3.93,549.73,0,0,1.96,0,2.94,0,0,0,0,0,45.16,0.98,5.89,4.91,6.87,0.98
 84-94,0,1.06,0,10.62,1.06,57.35,0,7.43,0,159.31,0,0,0,1.06,0,1.06,0,0,61.6,0,6.37,2.12,310.11,0,1.06,2.12,0,1.06,6.37,0,0,0,0,33.99,0,4.25,3.19,2.12,0
 96-106,0,0,0,19.67,3.28,55.74,1.09,6.56,1.09,148.63,1.09,0,1.09,0,1.09,0,0,1.09,80.87,0,3.28,1.09,253.54,1.09,1.09,1.09,0,1.09,1.09,0,0,0,0,15.3,0,7.65,1.09,3.28,1.09
108-118,0,0.77,0,13.02,0,42.89,0,15.32,0.77,121.79,0.77,0,0,0.77,0,0.77,0,0.77,51.32,0,2.3,3.06,341.62,0,0,1.53,0,2.3,2.3,0,0,0,0,11.49,0,2.3,0.77,0.77,0
120,0,0,0,15.68,0,37.24,0,7.84,0,115.63,0,0,1.96,1.96,1.96,0,3.92,0,35.28,1.96,3.92,0,305.73,0,0,7.84,0,0,1.96,0,0,0,0,9.8,0,0,0,5.88,0
