stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,15,0,0,1,0,0,1,4,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,13.13,0,0,0,1.64,0.82,0,1.64,0
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,18.53,0,0,0,0,0.81,0,7.25,0
 48-58,0,0,0,0,3.44,0,5.16,0,0,0,8.61,0,0,0,1.15,0,0,5.16,0
 60-70,0,0,0.98,0,1.96,0.98,0.98,0,0.98,0.98,10.8,0.98,0,0,0,0,0,2.94,0
 72-82,0,0,1.96,0,14.72,0,3.93,0,0,0,20.61,0,0,0,2.94,0,0,1.96,0
 84-94,0,0,0,0,3.19,0,3.19,1.06,0,0,6.37,0,0,0,0,0,0,3.19,0
 96-106,0,0,0,1.09,8.74,0,4.37,1.09,0,0,6.56,0,1.09,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0,1.53,0,0.77,0.77,0,0,9.96,0,0,0,0,0,0,2.3,0.77
120,0,0,0,0,1.96,0,3.92,0,0,0,7.84,0,0,0,0,0,0,0,0
