stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,4,11,2,1,0,0,0,0,1,3,0,1,2,7,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0.82,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0.82,18.88,0,0,9.03,68.13,0,3.28,1.64,0,0,8.21,0,0,0,0.82,0.82,16.42,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,8.06,0,0,0.81,0.81,0.81,0,0.81,0,0,0,0,0.81,12.09,0,0.81,0.81,78.15,0.81,0,0,0,0,4.83,0,0,0,0,0,20.95,0,0.81,0,0,0.81
 48-58,0,0,0.57,0,2.3,0.57,0,24.1,0,1.72,0.57,4.02,0.57,0.57,0.57,0,1.15,0,0,0,21.8,0,1.15,1.15,96.97,0,0,0.57,0,0,2.87,0,0,0,0.57,0,17.79,0,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,0,40.24,0,0.98,1.96,12.76,1.96,0,0,0,0.98,0,0,0,35.33,0,0,1.96,171.77,0.98,1.96,0,0,0,4.91,0,0,0.98,0.98,0,14.72,0,0,2.94,0,1.96
 72-82,0,0,0,0.98,4.91,6.87,0,92.28,0,0.98,4.91,21.6,0,0,1.96,2.94,0,1.96,0.98,0.98,39.27,1.96,0.98,6.87,201.24,0,1.96,2.94,0,0,3.93,0,0,0.98,0,0,17.67,0,2.94,7.85,0.98,0
 84-94,0,0,1.06,0,11.68,1.06,0,72.22,0,2.12,3.19,20.18,3.19,0,5.31,2.12,0,1.06,1.06,1.06,38.23,0,1.06,7.43,96.65,3.19,0,8.5,0,1.06,9.56,0,0,1.06,0,0,7.43,0,0,5.31,3.19,1.06
 96-106,0,0,1.09,0,10.93,3.28,0,53.55,0,0,1.09,28.41,1.09,1.09,4.37,2.19,0,3.28,0,0,39.34,1.09,3.28,6.56,92.89,2.19,5.46,12.02,0,3.28,5.46,0,0,0,0,0,7.65,1.09,0,6.56,4.37,2.19
108-118,0,0,1.53,0,8.43,0,1.53,53.62,0.77,0.77,0.77,19.92,3.06,0.77,0.77,2.3,2.3,0,0.77,0.77,43.66,0,0,5.36,111.06,3.83,3.06,4.6,0,0.77,7.66,0,0,0,0,0,8.43,0,0,1.53,0.77,1.53
120,0,0,0,0,17.64,3.92,0,23.52,0,3.92,1.96,19.6,0,0,1.96,1.96,3.92,1.96,0,0,23.52,0,0,3.92,103.87,3.92,0,1.96,0,0,11.76,0,0,0,0,0,1.96,1.96,0,1.96,1.96,0
