stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,13.14,7.89,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0,15.73,15.73,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,11,0,0,0,0
 24-34,0,0,0,0.82,0,0,8.21,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,6.57,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,8.06,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,0,24.67,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,210.05,0.98,0,0,0,0,0,0,0,4.91,0,0,0,0.98,0,1.96,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,313.15,2.94,0,0,0,0,0,3.93,0.98,7.85,0,0,0,0,0,1.96,0.98,0,0,0
 84-94,0,0,1.06,0,1.06,0,259.14,5.31,2.12,0,0,0,0,2.12,0,7.43,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,150.81,0,0,0,1.09,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,91.92,0.77,0.77,0,0,0,0.77,0.77,0,3.83,0,0,0,0,0,0,3.06,0,0,0
120,0,0,0,0,1.96,0,58.79,1.96,0,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0,1.96,0,0,0,0
