stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,20,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,4,38,0,0,1,0,0,0,0,1,0,5,13,0,0,1,0,0
 24-34,0,0,1.64,141.19,1.64,0,18.06,0,5.75,0.82,6.57,0,2.46,0,0.82,0.82,0.82,0,0,53.36,2.46,0.82,18.88,96.86,0,0.82,19.7,0,0,11.49,0,0,1.64,0.82,18.06,0,0,50.07,0,0
 36-46,0,0,0,69.29,0,0,9.67,0,4.03,1.61,10.47,0.81,1.61,0,1.61,0,6.45,0,0.81,132.94,0,2.42,28.2,58.01,2.42,1.61,15.31,0,0,21.75,0,0,4.03,0,7.25,0,1.61,43.51,0.81,0.81
 48-58,0,0,0,31.56,0,0,10.33,0,4.02,9.18,12.05,0.57,2.87,0.57,0,0,5.16,0,1.72,316.74,1.15,5.74,32.71,31.56,0.57,0,17.79,0,0.57,17.79,0,0,0,0,4.59,0,1.72,29.84,0,0
 60-70,0,0,0,36.32,0,0,16.69,0,3.93,7.85,26.5,1.96,1.96,1.96,0,0.98,3.93,0.98,2.94,417.15,0,10.8,39.26,28.46,0,0,13.74,0,3.93,24.54,0,0,0.98,0,4.91,0,2.94,29.45,0,1.96
 72-82,0,0,0,39.27,0.98,0,30.43,0.98,5.89,16.69,60.86,1.96,5.89,2.94,1.96,0,16.69,0.98,1.96,723.48,0,23.56,52.03,42.21,0,0,38.28,0,4.91,32.39,0,0,0.98,0,4.91,0,8.83,48.1,7.85,2.94
 84-94,0,0,0,83.9,0,0,55.23,0,14.87,12.74,31.86,3.19,6.37,5.31,2.12,3.19,9.56,0,4.25,454.55,3.19,22.3,36.11,29.74,2.12,0,30.8,0,2.12,72.22,0,0,4.25,0,3.19,0,9.56,58.41,2.12,0
 96-106,0,0,0,93.98,0,1.09,36.06,1.09,14.21,18.58,51.36,5.46,6.56,5.46,3.28,0,14.21,2.19,0,488.5,2.19,21.86,34.97,65.57,1.09,6.56,41.53,0,7.65,39.34,0,0,5.46,0,7.65,2.19,9.84,74.31,5.46,3.28
108-118,0,0,0,91.15,1.53,0,16.09,0,13.79,17.62,43.66,5.36,6.89,3.06,2.3,5.36,9.96,0.77,4.6,478.73,0,15.32,23.74,40.6,0,3.06,48.26,0,6.89,39.83,0,0,6.13,0,5.36,1.53,6.89,55.92,2.3,2.3
120,0,0,0,125.43,0,0,11.76,0,3.92,13.72,27.44,11.76,7.84,5.88,5.88,0,5.88,0,0,350.8,1.96,17.64,17.64,29.4,1.96,7.84,41.16,0,7.84,64.67,0,0,3.92,0,1.96,3.92,0,52.91,0,0
