stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,5.26,0,0,2.63,0,0,0,0,0,94.63,2.63,0,0,23.66,0,2.63,0,0,0,0
 10-12,0,3.15,12.59,0,0,6.29,0,0,3.15,0,0,0,0,0,103.85,0,0,0,22.03,0,0,9.44,0,0,0
 14-21,0,0,0,11,1,0,1,0,0,0,0,4,0,1,24,1,0,0,0,0,0,1,4,5,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0.82,13.13,0,0,1.64,0,0.82,0,0,0,4.1,0.82
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.72,1.15,0,0,0,0,0.57,0,0.57,2.87,0,1.15,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,0,1.06,0,1.06,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0.77,1.53,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
