stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,1,0,1,0,1,6,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0,0,0.82,0,0,0.82,59.1,4.93,1.64,0,0,0,0,0.82,2.46,4.1,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0.81,0,0,128.91,3.22,0.81,0,0,0,0,0,0,5.64,0,0,0,0.81
 48-58,0,0,0,0,0,12.62,0.57,0,1.15,1.72,0,0,0.57,1.15,3.44,0.57,0,0,110.17,1.15,1.72,0,0,0,0,0.57,0,10.33,0,0,0,0
 60-70,0,0,0,0,0,18.65,0,0,0.98,5.89,0,0,0,0,22.58,0,0,1.96,168.82,2.94,0,0,0,0,0,0,0,26.5,0,0,0.98,0
 72-82,0,0,0,0.98,0,24.54,0,0,0,4.91,1.96,0,0,0,24.54,0,1.96,1.96,229.71,0.98,0,0,0,0,0,0,0,16.69,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,25.49,1.06,0,1.06,8.5,1.06,1.06,0,0,29.74,0,0,3.19,122.13,2.12,0,2.12,0,0,0,0,0,15.93,0,0,1.06,0
 96-106,0,0,0,2.19,0,25.14,0,0,2.19,7.65,0,0,1.09,0,10.93,0,0,1.09,127.86,2.19,1.09,0,0,2.19,0,0,0,9.84,1.09,2.19,5.46,0
108-118,0,0.77,0,0.77,0,21.45,0,0,0.77,7.66,0,0,0,0,10.72,0,0,0,183.07,2.3,3.83,1.53,0,0.77,0,0.77,0,9.96,0,0,2.3,0
120,0,0,0,1.96,0,9.8,1.96,1.96,0,5.88,0,0,0,0,3.92,0,0,1.96,170.5,0,0,3.92,0,0,0,0,0,11.76,0,0,0,0
