stage,epidermis,erythrocytes,eye,fast.muscle,glial,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle
 14-21,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0
 48-58,0,0,1.72,0,0,0,0,0,1.72,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0,0
 84-94,1.06,0,0,1.06,1.06,0,2.12,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,2.19,0,1.09,0,0,0,1.09
108-118,0,0.77,0,0,5.36,0.77,0,0,6.13,0,0.77,0,0,0.77,0
120,0,0,0,0,17.64,0,0,0,5.88,0,0,0,0,0,0
