stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,1,1,5,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0.82,0,0.82,0.82,0,0,0,5.75,9.03,0,0.82,0.82,2.46,0,0,1.64,14.78,0,4.93,4.1,0,0,93.58,0,0,0.82,1.64,3.28,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,6.45,0.81,0,0,0,1.61,1.61,0,0.81,23.36,0,6.45,2.42,0,0,111.18,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,7.46,0,0.57,0,0,0,0,5.16,3.44,0,3.44,0.57,2.3,1.15,0,1.15,14.92,0,1.15,1.72,0,0,95.25,0,0,0,0,2.3,0,0,0.57,0,1.15
 60-70,0,0,0,4.91,0,0,11.78,0.98,1.96,0,0.98,0.98,0,6.87,0.98,0,1.96,0,5.89,0.98,0.98,0,19.63,0,1.96,1.96,0,0,100.12,0,0,0,0,1.96,0.98,0,0,0,0
 72-82,0,0,2.94,4.91,0,0,7.85,0,0.98,0,0,3.93,0,7.85,7.85,0.98,1.96,0,1.96,3.93,0,0.98,21.6,0,4.91,5.89,0,0.98,88.35,0,0,0.98,0,1.96,1.96,0,0,0.98,0
 84-94,0,0,1.06,10.62,1.06,0,8.5,1.06,3.19,0,1.06,3.19,0,25.49,15.93,0,4.25,0,0,3.19,0,2.12,14.87,0,1.06,10.62,0,0,275.07,0,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,21.86,0,1.09,7.65,1.09,2.19,0,1.09,8.74,0,29.51,12.02,0,6.56,0,3.28,3.28,0,0,15.3,0,3.28,7.65,0,0,166.11,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,1.53,19.15,1.53,0.77,1.53,0,3.06,0,3.06,7.66,0,20.68,9.19,0,2.3,0,5.36,6.13,0,0,16.09,0,4.6,5.36,0,0.77,142.47,0,0.77,0,0,0,3.06,0.77,2.3,0,0
120,0,0,1.96,23.52,0,3.92,7.84,0,1.96,0,0,11.76,0,23.52,13.72,0,5.88,0,3.92,3.92,0,0,17.64,0,0,11.76,0,0,164.62,0,0,0,0,0,0,0,0,0,0
