stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,4,0,0,0,2,0,0,0,0,0,0,3,0,1,39,0,0,0,0,0,0,5,0,5,12,1,0
 24-34,0,0,0,1.64,11.49,0,0,4.1,0,0,0,0,0,0,0.82,8.21,0,3.28,87.83,0,0,0.82,0,0,0.82,0,0,0.82,15.6,1.64,0
 36-46,0,0,0,0,7.25,0,0,0.81,0,0,0,0,0,0,0,4.03,0,1.61,51.56,0,1.61,0.81,0,0,0,0,0,0,14.5,0.81,0
 48-58,0,0,0,1.15,7.46,0,0,6.31,0,0,0.57,0.57,0,0,0,5.16,0,1.15,25.25,0.57,0,0,0,0,0,0,0.57,0,5.74,0.57,0
 60-70,0,0,0,0.98,14.72,0,0,9.82,0,0,0,0,0,0,0,12.76,0,2.94,18.65,0,0,0,0,0,0,0,0,0,4.91,0,0.98
 72-82,0,0,0,2.94,9.82,0,0,3.93,0,0.98,0,0.98,1.96,0,0,12.76,0,0.98,14.72,0,0,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,2.12,5.31,1.06,0,2.12,0,1.06,0,0,0,0,0,7.43,0,1.06,8.5,0,0,0,0,0,2.12,0,1.06,0,0,0,1.06
 96-106,0,0,0,3.28,4.37,0,1.09,0,0,0,0,0,0,0,1.09,5.46,1.09,1.09,12.02,0,1.09,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,2.3,0,0,0,0.77,0,0,0,0,0,0,5.36,0,0.77,10.72,0,0,0.77,0,0.77,0.77,0,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,5.88,0,0,1.96,0,0,1.96,0,3.92,0,0,9.8,0,0,0,0,0,0,0,0,0,0,1.96,0
