stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,0,0,0,0,1,0,8,1,0,0,0,0,3,0,0,7,13,0,0,0,0,0,2,1,23,4,0,0,0
 24-34,0,0,0,5.75,0.82,0,0.82,0,0.82,0,3.28,0,0,18.88,0,0,0,0,0,3.28,0,0,1.64,15.6,0,0,0,0,0,0,0,1.64,2.46,0,0,4.1
 36-46,0,0,0,3.22,0,0,1.61,0,0.81,0,3.22,0,0,19.34,0,0.81,0,0,1.61,4.03,0,0.81,1.61,14.5,0.81,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,10.9,0,0,0.57,0,0,0.57,1.15,0,1.15,14.92,0,0,0,0,1.15,2.3,0,1.15,1.15,8.03,0,0.57,0,0,0.57,0,0,0,2.3,0,0.57,3.44
 60-70,0,0,0,5.89,0,0,5.89,0.98,0.98,1.96,0,0,0,18.65,0,0,0.98,0,0,5.89,0,0,0,16.69,0,0,0,0,0,0,0,0,1.96,0,0,4.91
 72-82,0,0,0,4.91,0.98,0,6.87,0,0,0,3.93,0,0,34.36,0,0,0,0,0,12.76,0,2.94,0,16.69,0,0.98,1.96,0,0,0,0,0,0.98,0,0,9.82
 84-94,0,0,0,10.62,0,0,2.12,0,1.06,1.06,2.12,0,1.06,66.91,0,1.06,0,0,0,10.62,0,1.06,0,3.19,0,0,0,0,0,0,0,0,1.06,1.06,1.06,7.43
 96-106,0,0,0,4.37,0,0,7.65,0,0,2.19,2.19,1.09,0,66.66,1.09,1.09,1.09,1.09,0,13.11,1.09,1.09,1.09,7.65,0,0,0,0,1.09,0,0,0,0,0,0,7.65
108-118,0,0,0,9.19,1.53,0.77,4.6,0,0,0,2.3,2.3,0.77,82.72,0,1.53,0,0,0,2.3,0.77,1.53,0.77,7.66,0,0,0.77,0,1.53,0,0,0,0,0,0,9.19
120,0,0,0,7.84,3.92,0,1.96,0,0,0,0,0,0,54.87,0,0,0,0,1.96,5.88,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,17.64
