stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,22.98,0,0,0,1.64,1.64,0,0,31.19,0,0,0.82,0,14.78,0,0,0,4.1,0.82,0
 36-46,0,0,0,0,1.61,0,0,1.61,0,0.81,0,0,0,0.81,19.34,0,0,0,0,0,0,0,134.55,0,0.81,0,0,32.23,0,0,0,16.92,1.61,0
 48-58,0,0,0,0,0,0,0,8.61,0,0,0,1.72,0,0,7.46,0,0,0,2.87,1.72,0,0.57,179.03,0.57,1.15,0,0,13.2,0,0,0,23.53,0.57,0.57
 60-70,0,0,0,0,0,0,0,24.54,0,0.98,1.96,7.85,2.94,0,13.74,0,0,0,6.87,2.94,0,0,335.68,0.98,2.94,0,0,19.63,0,0,0,32.39,0,0
 72-82,0,0,0.98,0,1.96,0.98,0,48.1,0,0,1.96,11.78,16.69,0,6.87,0,0,0,10.8,2.94,0,0,379.9,0,5.89,0,0,17.67,0,0,0,21.6,0,0
 84-94,0,0,0,0,4.25,0,0,42.48,0,1.06,0,11.68,22.3,0,14.87,1.06,0,1.06,5.31,6.37,1.06,0,130.63,0,1.06,0,0,53.1,0,0,0,10.62,0,0
 96-106,0,0,0,0,12.02,1.09,1.09,36.06,0,0,0,12.02,19.67,0,21.86,1.09,0,0,7.65,5.46,0,0,119.12,0,2.19,1.09,0,46.99,0,1.09,0,5.46,0,1.09
108-118,0,0,0,0,15.32,0,0,20.68,0.77,0,0,6.89,17.62,0,28.34,0,0.77,0.77,5.36,4.6,0,0.77,155.49,0,0,0,0,36.77,0,0,0,4.6,0.77,0
120,1.96,0,0,1.96,13.72,0,0,27.44,0,3.92,0,9.8,25.48,0,19.6,0,0,1.96,1.96,1.96,0,0,192.06,0,3.92,0,0,56.83,1.96,0,0,3.92,0,0
