stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.52,9.44,0,0,9.44,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,0,4,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,2,360,0,0,2,0,0,1,1,0,0,1,132,0,0,0,0,0
 24-34,0,0,0,4.1,0,35.3,0,0,0,30.37,0,0,0,0,0,0,0,0,4.1,0,0,0.82,654.22,0,0,3.28,0,0.82,0,0,0,0,0.82,148.57,0,0,0,0,0
 36-46,0,0,0,0.81,0,48.34,0,0,0.81,62.84,0,0,0,0,0.81,0,0,0.81,4.83,0,0,2.42,613.11,0,0.81,1.61,0,0,0,0,0,0,0,101.51,0,0,0,0,0
 48-58,0,0,0,2.87,0,49.35,0,0.57,0,81.48,0,0,0,0,0,0,0,0,10.33,0,0,1.15,381.01,0,1.15,4.59,0,1.72,0,0,0,0,0,65.99,0,0,0.57,0,0
 60-70,0,0,0,4.91,0,51.04,0,0,0,127.6,0,0,0.98,0,0,0,0,0,14.72,0.98,3.93,0.98,289.55,0.98,0,3.93,0,0.98,0,0,0,0,0,33.37,0,0,0,0,0
 72-82,0,0,0,3.93,1.96,77.55,0.98,0,0,218.91,0,0,0,0,0,1.96,0,0,16.69,0,0,0.98,356.34,0,0,6.87,0,0.98,0,0,0,0,0,29.45,0,0,0.98,0.98,0.98
 84-94,0,0,0,2.12,0,74.34,0,0,0,117.89,1.06,0,0,0,0,0,0,0,19.12,0,0,3.19,220.9,0,0,8.5,0,0,0,0,0,0,0,36.11,0,0,1.06,0,0
 96-106,0,0,0,6.56,2.19,75.41,0,0,0,171.58,0,0,1.09,1.09,1.09,1.09,0,0,16.39,0,0,1.09,197.81,0,0,19.67,0,2.19,0,0,0,0,0,41.53,1.09,0,2.19,0,1.09
108-118,0,0,0,2.3,0,62.04,0.77,0,1.53,147.83,0,0,0.77,0.77,0,0.77,0.77,0,13.02,0,0,0,252.77,0,1.53,22.21,0,0,0,0,0,0.77,0,25.28,0,1.53,0.77,0,0
120,1.96,0,1.96,1.96,0,54.87,1.96,0,0,143.06,0,1.96,0,0,0,0,1.96,0,13.72,0,0,0,307.69,0,0,13.72,0,0,0,0,0,0,0,31.36,0,0,0,0,0
