stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,5.26,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,5,1,0,1,0,1,1,5
 24-34,0,0,0,0,0.82,1.64,0,0,0,4.93,0,0,0,0,0,0,3.28
 36-46,0,0,0.81,0,0,30.62,0,0,0.81,4.03,0,0,0,0,0,0,4.03
 48-58,0,0,0,0,0,74.02,0,0,0,8.61,0,0,0,0.57,0,0,1.15
 60-70,0,0,0,0,0,106.99,0,0,0.98,1.96,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,81.48,0,0,0,10.8,0,0,0,0,0,0,1.96
 84-94,0,0,1.06,0,0,42.48,1.06,3.19,2.12,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,33.88,0,1.09,0,4.37,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,43.66,0,1.53,0.77,6.13,0,0.77,0,0.77,0,0,0
120,0,0,0,0,0,25.48,0,0,1.96,3.92,0,0,0,0,0,0,0
