stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,3,4,2,0,0,0,0,0
 24-34,0,0.82,0,1.64,0.82,1.64,0,0,0,0,0,0.82,0,4.1,0,0,65.67,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0
 36-46,0,0.81,0,0.81,0,37.87,0,0,0,0,0,0,0,0,0,0.81,83.79,0,0,0.81,0,0,0,0,0.81,0.81,0,32.23,0,0,0,0,0.81
 48-58,0.57,0,0,5.74,0,102.14,0,0,0,0,0,1.15,0.57,11.48,0,2.3,131.4,1.15,0.57,1.72,0,0,1.15,0,0,0,0,55.09,0,0,0,0,0.57
 60-70,0,0.98,0,27.48,0,173.73,0,0,0,0,0,0,0,15.7,0,0.98,209.06,0,0,0.98,0,0,2.94,0,0.98,0,0,46.13,0,0,0,0,0
 72-82,0,0,0.98,63.81,0,322.97,0.98,0,0,0,0.98,0.98,0,20.61,0.98,2.94,283.7,0,0,5.89,0,0.98,0.98,0,0,0,0,26.5,0.98,0.98,0,0.98,0
 84-94,0,7.43,0,45.67,0,161.43,0,1.06,0,1.06,0,3.19,0,13.81,0,0,142.31,0,1.06,8.5,0,0,3.19,0,0,0,0,21.24,0,1.06,0,2.12,1.06
 96-106,0,2.19,1.09,46.99,1.09,167.21,1.09,0,2.19,0,0,4.37,0,12.02,0,0,143.16,0,1.09,10.93,0,0,1.09,0,0,0,0,12.02,1.09,0,0,0,2.19
108-118,0,0.77,0,40.6,0.77,143.24,0,0,0,0.77,0,3.83,0.77,13.02,0,0,170.04,0.77,0,16.09,0,0,0.77,0,0,0,0,1.53,0,0,0,0,0
120,0,11.76,0,39.2,0,211.66,0,0,3.92,0,0,3.92,0,15.68,0,0,213.62,0,3.92,7.84,0,0,1.96,0,0,0,0,11.76,0,0,1.96,0,0
