stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,600.7,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,410.08,0,0,0,47.32,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,651.92,15.77,0,0,270.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,236.02,0,22.03,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.72,9.44,0,0,239.17,0,0,3.15,0,94.41,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,37,314,41,0,8,0,0,0,2,30,1,12,0,0,0,1,157,1,0,71,251,11,3,81,19,0,1,0,49,12,18,958,51,0,0,28,0,0
 24-34,0,0.82,0,13.95,31.19,4.1,0,4.93,0,1.64,0.82,6.57,4.93,0,7.39,0,0,0.82,0.82,100.97,0,1.64,32.83,138.72,2.46,10.67,14.78,0,0,1.64,0,0.82,9.03,4.1,362.82,41.04,0,0,125.59,0,0.82
 36-46,0,0,0,2.42,11.28,0,0,4.83,0.81,0,4.03,20.14,0,0,15.31,0,0.81,0,0,129.71,0,2.42,28.2,57.2,0.81,5.64,2.42,0,0.81,1.61,0,0,6.45,0,12.09,16.92,0,0,78.96,0,0
 48-58,0,0,0,1.15,9.75,0,0,6.89,0.57,1.72,2.87,10.9,0,0,6.89,0,0,0,0,173.29,0,14.35,18.36,31.56,0,3.44,1.15,0,1.72,0.57,0,0,0.57,0,0,4.02,0,1.15,65.41,0,0
 60-70,0,0,0,0,4.91,0,0,8.83,0,0,2.94,19.63,0,0,5.89,0,0,0,0,277.77,0,30.43,18.65,17.67,0,2.94,0,0,7.85,0,0,0,5.89,0,0,1.96,0,18.65,62.82,4.91,0
 72-82,0,0,0.98,0,12.76,0.98,0,15.71,0,0,2.94,35.34,0,0,6.87,0,1.96,0.98,0,362.23,0.98,34.36,13.74,15.71,0,1.96,1.96,0,17.67,0,0,0,8.83,0,0,0.98,0,34.36,109.95,23.56,0
 84-94,0,0,0,1.06,18.05,0,0,27.61,0,2.12,1.06,22.3,0,0,4.25,1.06,2.12,0,0,206.04,0,41.42,7.43,11.68,0,6.37,0,0,6.37,1.06,0,0,9.56,0,0,2.12,0,31.86,89.21,15.93,0
 96-106,0,0,0,2.19,9.84,2.19,0,26.23,0,1.09,1.09,38.25,3.28,0,12.02,1.09,0,0,1.09,228.4,0,29.51,4.37,17.49,0,9.84,1.09,0,25.14,2.19,0,0,14.21,0,0,1.09,1.09,32.79,126.77,30.6,1.09
108-118,0,0,0,6.13,10.72,1.53,0.77,11.49,0,1.53,1.53,22.21,0.77,0,6.89,0,0.77,0,2.3,207.58,0,26.81,6.89,22.21,0.77,6.89,0,0,20.68,0.77,0,0,13.02,0,0,0.77,0,22.98,84.26,22.21,0
120,0,0,0,1.96,13.72,0,0,9.8,0,3.92,1.96,23.52,0,0,5.88,0,1.96,0,3.92,121.51,0,13.72,3.92,13.72,0,3.92,0,0,17.64,5.88,0,0,1.96,0,0,0,0,23.52,82.31,15.68,0
