stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,2.63,15.77,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,68.35,18.4,0,0,55.2,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,9.44,0,0,0,0,0,0,56.65,9.44,0,0,173.08,0,3.15,0,3.15,3.15,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,6,2,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82,3.28,0,0,3.28,14.78,0,0,0,0,0.82,0,0,0,0.82,3.28,1.64,0.82
 36-46,0,0,0,0,0,3.22,0.81,0,0,0.81,0,0,0,1.61,0,0,0,10.47,0.81,1.61,0,0,1.61,0,0,0,0,1.61,0,0
 48-58,0,0,0.57,0.57,0,5.74,0.57,0.57,1.15,0,0,0,0,4.59,0,0,0,8.03,0,0,0,0,1.15,0,0,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,8.83,0.98,0,2.94,0,0,0,0,3.93,0,0,0,22.58,0,0,0.98,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,2.94,0,0,0.98,0,0,0.98,0,2.94,0.98,0,0.98,9.82,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,1.06,0,0,0,0,3.19,0,1.06,0,5.31,0,0,2.12,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,1.53,0,0,0.77,0,3.83,0.77,0,0,3.83,0.77,0,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
