stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,44.06,0,0,0,12.59,0,0,6.29,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,1,0,3,1,0,0
 24-34,0,0,1.64,2.46,0,0,2.46,0,0,0,0,0,0,0,0,0,6.57,0,0.82,22.98,0,0,0,0,3.28,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,3.22,0.81,0,7.25,0,0,0.81,0,2.42,0,0,0,1.61,0,0
 48-58,0,0,0,1.72,0,0,4.59,0,0,2.3,0.57,0,0,0,0,0,1.15,0,0.57,4.59,0,0,0.57,0,1.15,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0.98,0.98,0,1.96,0,0.98,0,1.96,0,0,6.87,0,0.98,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,1.96,0,0,1.96,0.98,0,0,0,0,0,0.98,0.98,1.96,2.94,0,0,0,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,3.19,0,0,0,0,0,1.06
 96-106,0,1.09,0,3.28,0,0,1.09,0,0,1.09,2.19,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,5.46,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0,1.53,0.77,0.77,0.77,0.77,0,0,0.77,0.77,0,0.77,3.06,0,1.53,5.36,0,0,0,0,3.06,0,0,0,0,0,0
120,0,0,0,1.96,0,0,3.92,1.96,0,0,0,0,1.96,0,0,0,1.96,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0
