stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,41,0,0,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,2,0
 24-34,0.82,47.61,0,0,0,0,0,40.22,0,0,0,0,0,0,0,6.57,0,0.82,0,1.64,22.16,0
 36-46,0,4.03,0.81,0,0,0,0,36.26,0,0,0,0,0,0,0,5.64,0,0,0,0,8.06,0
 48-58,0,5.74,0,0,0.57,0,0,35,0,0.57,0,0,0.57,0,0,2.3,0,0,0,0,6.31,0
 60-70,0,5.89,0.98,0,0,0,0,28.46,0.98,0,0,0,2.94,0,0,0,0,0,0,0,5.89,0
 72-82,0,10.8,0.98,0.98,0,0,0,63.81,0,0,0,0,6.87,0,0,1.96,0,0,0,0,10.8,0
 84-94,0,5.31,1.06,0,1.06,0,0,99.83,0,0,0,1.06,2.12,1.06,1.06,1.06,0,0,0,0,15.93,0
 96-106,0,21.86,3.28,1.09,0,0,1.09,147.53,0,0,0,0,3.28,0,0,0,0,0,0,0,18.58,0
108-118,1.53,11.49,0.77,0,0,1.53,0,112.6,0,0,0.77,0,1.53,0,0,4.6,0.77,0.77,0,0,17.62,0.77
120,0,13.72,1.96,0,1.96,0,0,107.79,0,0,0,0,0,0,0,7.84,0,0,0,0,25.48,0
