stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,278,23,0,19,0,0,0,101,8,1,0,0,3,0,0,0,0,35,2,0,21,1342,4,0,1,5,0,1,6,30,0,14,1296,0,0,1,0,0
 24-34,0,0,92.76,0.82,0,25.45,0,1.64,0,192.9,0.82,0,0.82,0,0.82,0.82,4.1,0,0,18.06,0,0.82,5.75,689.52,0,0.82,7.39,0,0,2.46,0,3.28,0.82,3.28,838.09,0,0,2.46,0,0.82
 36-46,0,0,50.76,0,0,9.67,0,0.81,0,106.35,0,0,0.81,0,0,0.81,8.86,3.22,0,20.95,0.81,0,12.89,320.66,0,0,13.7,0,0,5.64,0,0,0.81,0,333.55,0,0,0,0,0
 48-58,0,0,38.44,0,0,9.75,0.57,8.03,0.57,78.61,0,0,1.15,0,0,0,10.9,3.44,0,60.82,0.57,0,4.59,68.28,0,0.57,8.03,0,0.57,0,0,0,0.57,0,135.99,0,0,0,1.15,0.57
 60-70,0,0,47.11,0,0,8.83,0,8.83,0,43.19,0,0,0.98,0,0.98,1.96,11.78,4.91,0,144.28,0,0.98,4.91,57.91,0,0,9.82,0,0.98,3.93,0,0.98,0,0,76.56,0,2.94,0.98,0.98,0
 72-82,0,2.94,63.81,0,0,14.72,1.96,5.89,0.98,81.48,0,0,2.94,0,0.98,0,15.71,0,0,223.82,0,0.98,5.89,51.05,0,4.91,13.74,0,0,2.94,0,0,0,0,60.86,0,2.94,0.98,10.8,0
 84-94,1.06,4.25,174.17,0,0,16.99,2.12,36.11,1.06,74.34,0,0,0,0,0,0,12.74,4.25,0,211.35,0,0,3.19,24.43,0,2.12,16.99,0,0,1.06,0,1.06,0,0,64.78,0,3.19,1.06,8.5,0
 96-106,0,4.37,205.46,0,0,14.21,0,29.51,4.37,57.92,0,0,6.56,1.09,0,1.09,12.02,3.28,0,203.27,0,3.28,5.46,31.69,0,6.56,14.21,0,0,6.56,0,0,0,0,69.94,0,3.28,4.37,10.93,0
108-118,0,3.83,196.09,0,1.53,6.13,0.77,40.6,1.53,49.79,0.77,0,2.3,0.77,2.3,2.3,9.19,2.3,0.77,179.24,0.77,0.77,2.3,43.66,0.77,2.3,13.02,0,0,2.3,0,0,0,0,47.49,1.53,0.77,1.53,10.72,0
120,0,1.96,154.82,0,0,1.96,0,17.64,3.92,41.16,1.96,0,0,7.84,1.96,0,0,5.88,0,119.55,1.96,0,3.92,19.6,0,0,5.88,0,0,3.92,0,0,0,0,33.32,0,5.88,0,5.88,0
