stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,17,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,5,15,1,0,1,0,1,7,0,14,183,1,0,0,1,0,0
 24-34,0.82,19.7,0,71.41,0,0.82,0,0,0,0,4.1,1.64,0,0,0,0,0,4.1,0,0,0.82,22.98,0,0,0.82,0,0,0,6.57,0,3.28,1.64,0,0,5.75,0,0.82
 36-46,0,14.5,0,88.62,0,2.42,0,0,0,0,2.42,4.03,0,0,0,0,0,14.5,0,0.81,1.61,27.39,0,0,0,0,0.81,0,4.03,0.81,0,3.22,0,0,12.89,0,4.83
 48-58,0,17.21,0,61.4,0.57,1.72,0,0,1.15,1.15,5.74,6.31,0,0,0,0,0,22.95,0,1.72,3.44,19.51,0,0.57,2.3,0,0,0,3.44,0,0,2.3,0,0,14.35,0,17.79
 60-70,1.96,14.72,0,53.98,0,1.96,0,1.96,19.63,0.98,3.93,7.85,0,0,0.98,2.94,0,47.11,0,0,3.93,25.52,0,0,5.89,0,0,0,4.91,0.98,0,1.96,0,0,17.67,0,18.65
 72-82,6.87,21.6,0,51.05,0.98,0.98,0,13.74,96.2,1.96,8.83,10.8,1.96,0.98,0,0.98,0,80.5,0,1.96,4.91,40.25,0,0,11.78,0,2.94,0,4.91,0,0,0,0,0,37.3,0.98,23.56
 84-94,6.37,25.49,2.12,94.52,1.06,6.37,1.06,6.37,182.67,2.12,5.31,8.5,0,1.06,1.06,0,0,71.16,0,0,3.19,33.99,0,0,6.37,0,0,0,6.37,0,0,1.06,0,1.06,37.17,1.06,20.18
 96-106,6.56,22.95,2.19,78.68,2.19,1.09,2.19,15.3,285.23,0,5.46,14.21,1.09,2.19,0,1.09,0,77.59,1.09,3.28,6.56,38.25,0,0,14.21,1.09,7.65,0,8.74,0,0,3.28,1.09,0,63.39,1.09,5.46
108-118,3.83,22.98,0.77,64.34,0,0.77,0.77,9.96,396.77,0,5.36,15.32,3.06,0.77,0,3.06,0,91.15,0,0,0.77,36,0,0,13.79,1.53,1.53,0,6.89,0,0,0,0,2.3,37.53,0.77,24.51
120,0,15.68,0,78.39,1.96,3.92,0,9.8,270.45,0,1.96,15.68,0,3.92,0,3.92,0,54.87,0,1.96,0,43.12,0,0,17.64,3.92,5.88,0,13.72,0,0,1.96,0,0,31.36,5.88,11.76
