stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,periderm,pronephros,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,1.64,0,0,0.82,3.28,0,41.86,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,1.61,0,27.39,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,2.87,0,0,0,0.57,0,23.53,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0.98,0.98,0,0,0,0,0,23.56,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0.98,14.72,0,0,0,0,0,3.93,0,0,3.93,0,52.03,0,0.98,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,38.23,0,0,0,0,1.06,2.12,0,0,3.19,0,107.27,0,0,0,0,0
 96-106,0,1.09,1.09,3.28,1.09,0,0,1.09,49.18,0,0,0,2.19,0,5.46,0,0,4.37,3.28,116.93,0,0,0,0,1.09
108-118,0.77,0,0.77,2.3,0,0,0.77,2.3,58.21,0,0.77,0.77,0,0,4.6,0.77,0,3.83,0,101.87,1.53,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,48.99,0,0,0,1.96,0,3.92,0,0,3.92,0,52.91,0,0,0,0,0
